date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,314.235,315.465,314.175,315.385,314.930304,103375,32555927.604999993,705,314.24,315.477,314.14,315.37,314.923015,6798672,2141058611.3287997,31674
2020-07-02,10:00,10:00,315.35,315.65,313.57,313.59,314.819548,69637,21923093.85,453,315.385,315.7,313.56,313.61,314.804266,5047944,1589114234.0162,21554
2020-07-02,10:30,10:30,313.605,314.27,312.82,312.84,313.683595,76022,23846852.875000004,524,313.612,314.33,312.78,312.91,313.642395,5021920,1575087747.6042,25249
2020-07-02,11:00,11:00,312.82,313.11,312.07,312.845,312.76551,53103,16608791.43,388,312.91,313.13,312.04,312.83,312.69732,3648841,1140983201.3836,19063
2020-07-02,11:30,11:30,312.91,313.85,312.8,313.6,313.509319,38800,12164166.28,410,312.86,313.85,312.79,313.61,313.455408,2550908,799595804.7871,13690
2020-07-02,12:00,12:00,313.66,313.71,312.87,313.67,313.357206,48319,15141109.420000004,467,313.61,313.71,312.86,313.69,313.323411,2296744,719623789.5113,12141
2020-07-02,12:30,12:30,313.7,313.79,313.22,313.7,313.57996,43231,13556376.56,458,313.7,313.8,313.23,313.707,313.568199,1781634,558663772.9295999,9675
2020-07-02,13:00,13:00,313.76,313.76,313.385,313.57,313.573778,28573,8959746.194999998,286,313.7,313.76,313.38,313.63,313.577524,1280488,401532319.79690003,7247
2020-07-02,13:30,13:30,313.645,314.2,313.62,313.735,313.981025,63602,19969823.724999994,514,313.621,314.2,313.57,313.76,313.95492,2649116,831703050.5678002,12538
2020-07-02,14:00,14:00,313.755,314.14,313.51,314.07,313.749986,40338,12656047.014999999,513,313.76,314.16,313.51,314.06,313.782485,2190315,687282708.4559,11317
2020-07-02,14:30,14:30,314.1,314.4,313.94,314.085,314.179586,42985,13505012.265,424,314.07,314.4,313.94,314.09,314.183452,2817497,885210930.5242,14308
2020-07-02,15:00,15:00,314.1,314.2,313.27,313.305,313.619809,78275,24548592.645000003,753,314.09,314.21,313.25,313.3,313.623641,3518809,1103581604.9112,17353
2020-07-02,15:30,15:30,313.335,313.465,311.52,311.765,312.433709,180686,56452404.89,1444,313.32,313.47,311.51,312.18,312.291058,11846868,3699670441.2661,48971
2020-07-06,09:30,09:30,316.375,316.88,315.89,316.72,316.351797,58945,18647363.99,362,316.37,316.88,315.87,316.72,316.359148,5166398,1634437544.3067007,24291
2020-07-06,10:00,10:00,316.77,317.43,315.625,315.94,316.138143,87945,27802769.52,525,317.07,317.68,315.56,315.97,316.304767,5346829,1691227855.0862002,25854
2020-07-06,10:30,10:30,315.815,316.925,315.74,316.9,316.566307,44443,14069162.524999999,333,315.95,316.95,315.69,316.9,316.453963,3075081,973121763.5772,15079
2020-07-06,11:00,11:00,316.915,317.15,316.725,317.1,316.969092,32808,10399126.244999997,395,316.93,317.16,316.7,317.14,316.957549,2335211,740162938.3067,11357
