date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,360.26,360.37,359.31,360.295,359.838813,72736,26173244.05,674,360.21,360.39,359.29,360.32,359.85043,4465508,1606915416.5857997,22859
2020-11-24,10:00,10:00,360.355,360.995,360.17,360.76,360.654641,175598,63330240.93999999,715,360.331,361.02,360.15,360.78,360.613921,4156478,1498884129.5281,19570
2020-11-24,10:30,10:30,360.81,361.75,360.48,361.525,361.052056,173485,62637127.235000014,679,360.77,361.77,360.47,361.51,361.191722,4682212,1691176248.2055004,18480
2020-11-24,11:00,11:00,361.615,362.445,361.505,362.42,361.99791,77948,28217013.040000003,522,361.51,362.46,361.5,362.415,361.988447,2477275,896745320.5332999,11702
2020-11-24,11:30,11:30,362.425,363.415,362.185,362.975,362.681269,60913,22092007.894999996,531,362.42,363.49,362.18,362.97,362.790413,3421216,1241184673.2592,17280
2020-11-24,12:00,12:00,363.01,363.08,362.605,362.705,362.849357,25346,9196781.300000003,457,362.97,363.12,362.6,362.74,362.844351,1712058,621210612.0603001,8940
2020-11-24,12:30,12:30,362.765,363.155,362.705,362.985,362.945516,22273,8083884.629999999,347,362.74,363.17,362.7,362.98,362.940284,1585916,575592871.2687001,8323
2020-11-24,13:00,13:00,362.975,363.345,362.635,362.735,362.886349,272474,98877147.89,569,362.99,363.39,362.61,362.78,363.035927,2103736,763731894.5702,9580
2020-11-24,13:30,13:30,362.825,363.77,362.825,363.075,363.238963,28391,10312720.425,351,362.775,363.81,362.775,363.08,363.209998,2625634,953656577.7770001,12502
2020-11-24,14:00,14:00,363.055,363.365,362.56,362.575,363.016889,48161,17483260.405,394,363.08,363.4,362.55,362.575,363.006854,2953659,1072198426.1803999,14960
2020-11-24,14:30,14:30,362.525,363.17,362.36,363.095,362.781094,31012,11250571.650000002,351,362.58,363.19,362.32,363.07,362.829461,2804512,1017559354.2322001,15127
2020-11-24,15:00,15:00,362.98,363.43,362.64,363.255,363.184108,62870,22833375.869999997,498,363.07,363.45,362.59,363.255,363.134719,3290276,1194813416.3857,17785
