date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,339.755,340.01,338.78,339.68,339.328589,75710,25690581.515,628,339.76,340.05,338.77,339.69,339.378245,4666668,1583766157.3530002,25822
2020-10-27,10:00,10:00,339.72,340.04,338.215,338.45,338.949461,92304,31286390.1,488,339.7,340.08,338.14,338.47,339.121708,4215548,1429584018.4379997,22206
2020-10-27,10:30,10:30,338.47,339.64,338.35,338.75,338.898283,50464,17102164.385,409,338.47,339.7,338.33,338.78,338.998886,3222221,1092329237.7867,17889
2020-10-27,11:00,11:00,338.86,339.585,338.595,338.62,339.010079,37434,12690503.88,351,338.78,339.6,338.56,338.66,339.064011,2146268,727722194.5217999,12722
2020-10-27,11:30,11:30,338.69,339.84,338.205,339.76,338.944356,53455,18118268.654999997,444,338.66,339.84,338.192,339.76,338.877912,3143878,1065391293.213,17091
2020-10-27,12:00,12:00,339.82,340.02,339.265,339.275,339.61226,29268,9939770.49,335,339.77,340.04,339.21,339.24,339.647029,1873370,636284551.5304999,11142
2020-10-27,12:30,12:30,339.255,339.255,338.57,339.02,338.909618,35524,12039429.729999999,316,339.24,339.26,338.53,339.01,338.87557,2345686,794895813.0675001,13216
2020-10-27,13:00,13:00,339.01,339.51,338.63,339.51,338.915585,22360,7578151.255,201,339.01,339.6,338.563,339.53,338.994598,2074587,703273981.1072001,12615
2020-10-27,13:30,13:30,339.56,340.12,339.55,339.67,339.806738,20237,6876671.645,262,339.54,340.12,339.47,339.66,339.805602,2168776,736962315.7189003,12814
2020-10-27,14:00,14:00,339.64,339.765,338.81,339.09,339.270212,34733,11783868.975,427,339.65,339.818,338.72,339.093,339.290465,2207615,749022975.1926999,13297
2020-10-27,14:30,14:30,339.19,339.19,338.285,338.56,338.753971,23413,7931248.215000001,240,339.1,339.21,338.27,338.56,338.75863,2386749,808531934.0259999,14388
2020-10-27,15:00,15:00,338.56,339.0,338.025,338.9,338.517302,23343,7902012.089999999,283,338.56,339.02,337.99,338.905,338.519603,3940787,1334033943.2996001,25813
2020-10-28,09:30,09:30,332.1,332.835,330.93,331.315,332.071633,157115,52173452.40999999,1111,332.1,332.84,330.91,331.299,331.940691,9602301,3187395175.6203995,48310
2020-10-28,10:00,10:00,331.17,331.435,328.225,328.78,329.953551,106099,35007745.745,941,331.29,331.44,328.22,328.77,329.862538,8732018,2880365731.0792007,44924
2020-10-28,10:30,10:30,328.78,329.495,327.73,328.62,328.69203,146122,48029141.22999999,867,328.77,329.56,327.721,328.57,328.769171,8794564,2891381207.710999,45772
2020-10-28,11:00,11:00,328.5,329.105,327.62,328.35,328.493095,109698,36035044.595,743,328.55,329.11,327.6,328.342,328.456979,6269305,2059197052.7789998,35598
2020-10-28,11:30,11:30,328.13,330.035,327.59,329.66,329.177649,106107,34928047.385,526,328.35,330.07,327.58,329.69,329.031008,6615148,2176589403.2793007,33718
2020-10-28,12:00,12:00,329.72,330.29,329.24,329.29,329.831987,70219,23160477.279999997,579,329.67,330.34,329.23,329.35,329.838324,4000349,1319468828.8964999,21885
2020-10-28,12:30,12:30,329.26,329.49,327.855,328.41,328.631769,64556,21215154.599999998,541,329.34,329.58,327.85,328.41,328.61131,4146216,1362493682.5868,21169
2020-10-28,13:00,13:00,328.37,328.41,327.15,328.285,327.624067,116918,38305161.410000004,651,328.38,328.45,327.14,328.282,327.691329,4754466,1557997605.9018004,23488
2020-10-28,13:30,13:30,328.27,328.86,327.93,328.75,328.451413,50451,16570699.005,447,328.28,328.87,327.89,328.75,328.452157,3478380,1142481948.6887,19354
2020-10-28,14:00,14:00,328.63,329.005,327.38,328.92,328.153736,72048,23642831.0,490,328.75,329.04,327.37,328.95,328.162501,4873774,1599390648.5979998,24861
2020-10-28,14:30,14:30,328.86,329.15,327.67,328.73,328.289581,89604,29416068.339999992,519,328.93,329.18,327.65,328.78,328.348807,5566926,1827894044.2394998,30248
2020-10-28,15:00,15:00,328.77,329.35,327.86,328.97,328.538991,84557,27780277.215,613,328.79,329.37,327.84,328.95,328.481866,6867598,2255881964.8085003,39029
2020-10-28,15:30,15:30,328.975,329.81,326.14,326.7,327.60123,265255,86897866.545,1778,328.94,329.85,326.13,326.68,327.544196,18255972,5979640432.162699,82438
2020-10-29,09:30,09:30,326.91,328.345,325.11,327.83,326.801273,141485,46237482.505,874,326.96,329.485,325.09,327.83,326.747346,10280060,3358983406.8912,54264
2020-10-29,10:00,10:00,327.79,329.135,327.13,329.06,328.464795,152999,50254783.11,577,327.87,329.16,327.11,329.12,328.251332,6331175,2078216818.5362997,34847
2020-10-29,10:30,10:30,329.195,329.82,328.71,329.22,329.218507,174627,57490436.60999999,643,329.12,329.82,328.68,329.22,329.280033,4612108,1518674868.7011995,25453
2020-10-29,11:00,11:00,329.26,329.86,328.505,329.085,329.201324,47383,15598546.515000002,485,329.21,329.87,328.47,329.065,329.174891,3437712,1131608512.8864,20414
2020-10-29,11:30,11:30,329.17,329.305,327.82,328.37,328.654739,54242,17826892.059999995,333,329.065,329.32,327.82,328.43,328.620401,3904774,1283188846.1936998,21206
2020-10-29,12:00,12:00,328.56,329.17,327.98,328.99,328.600489,32709,10748195.684999997,293,328.44,329.204,327.98,328.95,328.619005,1854339,609371158.1376998,10788
2020-10-29,12:30,12:30,328.97,329.645,328.88,329.16,329.320201,26975,8883410.384999998,201,328.94,329.71,328.815,329.2,329.365063,2412674,794650739.5353003,13564
2020-10-29,13:00,13:00,329.28,330.07,328.575,330.07,329.045227,47517,15635241.75,293,329.21,330.07,328.573,329.995,329.220469,2301607,757736522.4214002,12644
2020-10-29,13:30,13:30,329.975,331.56,329.975,331.48,330.821708,69433,22969941.345,443,329.992,331.57,329.96,331.49,330.747357,3731126,1234060488.3049998,18874
2020-10-29,14:00,14:00,331.46,333.22,331.46,332.99,332.574615,82904,27571777.009999998,436,331.48,333.22,331.45,332.99,332.471076,6036518,2006968475.3141005,30358
2020-10-29,14:30,14:30,333.0,333.395,331.7,332.07,332.626619,88208,29340344.075000007,474,333.0,333.395,331.7,332.09,332.429629,4762155,1583081632.1787002,26082
2020-10-29,15:00,15:00,332.18,332.54,330.975,332.02,331.826575,57486,19075387.58,502,332.11,332.58,330.93,332.03,331.880286,4471681,1484062668.7134,25412
2020-10-29,15:30,15:30,331.93,332.52,330.99,331.04,331.772801,97988,32509762.070000004,713,332.04,332.54,329.93,329.99,331.579049,8729395,2894485873.0705004,46678
2020-10-30,09:30,09:30,328.25,329.675,326.925,327.98,327.994568,93588,30696364.495000005,673,328.28,329.69,326.82,327.98,328.20395,6972941,2288547344.3587,37607
2020-10-30,10:00,10:00,327.87,328.51,324.95,325.3,326.515948,93896,30658550.2,569,327.98,328.54,324.92,325.26,326.795018,6272055,2049676271.7654996,36800
2020-10-30,10:30,10:30,325.26,325.65,323.25,323.25,324.4726,81734,26520446.63,551,325.26,325.67,323.23,323.24,324.466906,8675885,2815038400.6152,50216
2020-10-30,11:00,11:00,323.285,325.46,323.285,324.275,324.545059,89252,28966283.315000005,517,323.26,325.48,323.24,324.24,324.578912,6752248,2191637018.2632,37809
2020-10-30,11:30,11:30,324.185,325.025,323.595,324.83,324.411437,139583,45282329.525,608,324.25,325.03,323.55,324.84,324.291791,4391075,1423989820.3812,24359
2020-10-30,12:00,12:00,324.79,326.68,324.515,326.52,325.783132,60106,19581524.049999997,433,324.82,326.72,324.503,326.495,325.768476,3762355,1225656858.0909,21502
2020-10-30,12:30,12:30,326.49,326.52,324.975,325.05,325.708277,53120,17301619.89,261,326.495,326.54,324.87,324.95,325.523083,3274676,1065982529.6439998,16657
2020-10-30,13:00,13:00,324.84,325.45,324.06,324.765,324.526582,63719,20678505.034999996,232,324.96,325.48,324.02,324.86,324.588878,3153607,1023626267.6409001,18318
2020-10-30,13:30,13:30,324.81,324.81,323.385,324.46,324.053579,60285,19535577.18,274,324.83,324.83,323.34,324.5,324.076245,3702392,1199857458.2627,20252
2020-10-30,14:00,14:00,324.43,325.63,323.67,323.76,324.802472,42886,13929480.045,334,324.49,325.64,323.61,323.785,324.729871,4510340,1464642412.4131,26441
2020-10-30,14:30,14:30,323.735,324.27,322.635,323.7,323.515875,121024,39153204.495000005,556,323.78,324.31,322.6,323.66,323.442928,6249337,2021304322.1165,36061
2020-10-30,15:00,15:00,323.68,324.64,323.19,323.81,324.058114,115292,37361302.754999995,559,323.67,324.67,323.11,323.79,323.931989,7928400,2568262199.1606,47267
2020-10-30,15:30,15:30,323.79,326.78,322.99,326.78,324.570304,272546,88460379.42999999,1390,323.79,326.87,322.95,326.53,324.914848,17583781,5713230781.128099,80593
2020-11-02,09:30,09:30,330.2,330.98,328.99,330.755,330.108483,90583,29902229.4,730,330.2,330.995,328.965,330.76,330.048931,7044365,2324985315.9676,39403
2020-11-02,10:00,10:00,331.0,332.35,330.79,331.7,331.480043,80922,26824037.624999996,671,330.81,332.36,330.775,331.59,331.480746,5446569,1805432502.439,34078
2020-11-02,10:30,10:30,331.56,331.6,330.08,330.22,330.701212,54680,18082740.91,481,331.58,331.64,330.05,330.219,330.689651,3563910,1178548375.6409001,21480
2020-11-02,11:00,11:00,330.18,330.7,329.47,330.28,330.077614,35270,11641839.584999999,462,330.21,330.74,329.42,330.34,330.076339,3227619,1065361100.7437001,19999
2020-11-02,11:30,11:30,330.185,331.05,329.885,330.57,330.500755,55261,18263799.885,471,330.33,331.08,329.87,330.51,330.534486,3448288,1139777881.3987002,18821
