date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,341.64,341.665,340.75,341.365,341.27683,39441,13460304.810000002,303,341.51,341.72,340.72,341.419,341.30852,3436563,1172928376.7185998,17853
2020-09-16,10:00,10:00,341.47,341.775,340.93,341.13,341.337856,30156,10293387.39,332,341.41,341.785,340.9,341.1,341.368951,2624130,895796846.226,14024
2020-09-16,10:30,10:30,341.105,341.22,340.36,341.12,340.909936,18963,6464676.890000001,163,341.1,341.25,340.31,341.056,340.853253,2968957,1011978989.4553999,14415
2020-09-16,11:00,11:00,341.015,342.32,341.015,342.2,341.73088,40839,13955947.970000004,268,341.06,342.36,341.01,342.18,341.787714,3084731,1054323466.9322999,14436
2020-09-16,11:30,11:30,342.2,342.295,341.685,341.685,341.971631,28779,9841601.025000002,264,342.19,342.3,341.67,341.67,342.034339,2016576,689738119.6972001,9471
2020-09-16,12:00,12:00,341.695,341.94,341.35,341.59,341.573769,10217,3489859.96,111,341.68,341.95,341.33,341.57,341.580095,1698271,580095457.1395,7651
2020-09-16,12:30,12:30,341.575,341.575,341.04,341.205,341.315732,13820,4716983.27,183,341.575,341.575,341.01,341.195,341.316947,1828902,624235340.7876002,7543
2020-09-16,13:00,13:00,341.15,341.37,340.62,340.745,340.959035,11679,3982060.085000001,105,341.2,341.405,340.62,340.75,340.978429,2031331,692640162.2221,8310
2020-09-16,13:30,13:30,340.73,341.365,340.44,341.13,340.826917,18981,6469238.704999998,214,340.749,341.39,340.41,341.15,340.78949,1855615,632374047.0622001,9181
2020-09-16,14:00,14:00,341.155,342.65,340.87,342.33,341.642066,115430,39435752.335,823,341.14,342.667,340.85,342.34,341.841888,5653091,1932463378.1403,28135
2020-09-16,14:30,14:30,342.335,343.05,341.17,341.49,342.155033,57552,19691703.564999998,540,342.34,343.06,341.12,341.559,342.089769,5745212,1965378421.1711001,31784
2020-09-16,15:00,15:00,341.51,341.905,339.275,339.61,340.091697,217965,74128134.05499999,754,341.555,341.928,339.26,339.62,340.205324,7813929,2658340998.1602,35575
2020-09-16,15:30,15:30,339.54,340.6,338.635,338.86,339.511293,151162,51321208.30999998,845,339.62,340.6,338.52,338.81,339.424979,13278965,4507213802.142401,58770
2020-09-17,09:30,09:30,333.57,335.335,333.18,335.07,334.060655,109543,36594018.144999996,696,333.56,335.36,333.17,335.16,334.109308,7818082,2612094285.6592994,36994
2020-09-17,10:00,10:00,335.165,336.8,334.87,335.61,336.030295,170720,57367076.20000001,537,335.165,336.81,334.84,335.73,335.82648,5813694,1952393103.4991,26565
2020-09-17,10:30,10:30,335.59,337.49,335.155,336.325,336.452687,47801,16082774.74,320,335.745,337.25,335.08,336.32,336.384299,4423609,1488032430.1002002,22205
2020-09-17,11:00,11:00,336.41,337.655,336.41,336.695,336.935208,44426,14968683.799999999,389,336.33,337.7,336.33,336.71,337.092839,3528325,1189373124.7602,19761
2020-09-17,11:30,11:30,336.7,337.04,334.95,335.24,335.811895,65215,21899961.43,437,336.68,337.07,334.91,335.19,336.006907,4470561,1502139603.7728,23893
2020-09-17,12:00,12:00,335.15,335.435,333.0,333.77,333.942905,45448,15177044.405000001,532,335.16,335.46,332.991,333.764,333.973184,4839248,1616179538.6155996,25123
2020-09-17,12:30,12:30,333.66,334.44,333.21,334.405,333.694052,87945,29346737.040000003,346,333.74,334.52,333.12,334.515,333.801261,5282411,1763275923.5369,29612
2020-09-17,13:00,13:00,334.43,334.59,333.57,334.11,334.1595,23091,7716080.455,301,334.51,334.66,333.57,334.08,334.127135,3080384,1029240169.4724002,17774
2020-09-17,13:30,13:30,334.04,334.9,333.96,334.335,334.510874,24126,8070410.329999998,247,334.09,334.95,333.93,334.38,334.492478,3181711,1064258645.9281001,17527
2020-09-17,14:00,14:00,334.56,335.31,334.065,334.065,334.911345,31737,10629086.675,296,334.415,335.31,333.9,333.91,334.823435,2578093,863205899.4718999,13486
2020-09-17,14:30,14:30,333.83,334.49,333.355,334.03,333.813133,56734,18938561.98,401,333.904,334.5,333.32,334.02,333.894893,2901691,968859934.1926,15050
2020-09-17,15:00,15:00,334.13,334.62,333.01,333.655,333.949204,68481,22869180.219999995,651,334.03,334.66,333.0,333.66,333.884291,4728249,1578688399.0365002,22645
2020-09-17,15:30,15:30,333.56,336.0,333.56,335.87,335.24731,150052,50304525.675,1316,333.65,336.04,333.515,335.86,335.277023,10248246,3436002731.8310003,48191
2020-09-18,09:30,09:30,335.38,335.49,333.07,333.77,334.708758,103530,34652372.12999999,490,335.37,335.49,333.05,333.91,334.463796,7156182,2393484521.5467,37861
2020-09-18,10:00,10:00,333.94,334.95,333.89,334.585,334.380893,44155,14764598.525,303,333.915,334.99,333.885,334.46,334.428831,3725101,1245780806.6706002,19729
2020-09-18,10:30,10:30,334.28,334.28,332.565,332.79,333.349516,61910,20637662.14,344,334.462,334.54,332.54,332.78,333.444756,4332578,1444675740.3663,24184
2020-09-18,11:00,11:00,332.785,333.28,332.3,332.755,332.851763,68551,22817328.06,391,332.77,333.3,332.24,332.805,332.799175,4861351,1617853884.2052007,26999
2020-09-18,11:30,11:30,332.84,333.36,331.86,333.0,332.7097,69227,23032504.250000004,352,332.81,333.36,331.86,333.0,332.582356,3178228,1057022730.3012002,17921
2020-09-18,12:00,12:00,332.93,333.32,331.73,332.1,332.442552,28375,9433060.42,270,333.0,333.34,331.71,332.15,332.52175,3284730,1092244153.1138,19290
