date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,332.73,333.5,327.73,331.3,3785598.72,57240,18927993.775000002,231,333.0,333.76,327.71,331.43,470033130.1,7103375,2350165895.3088,8063
2020-08-14,10:00,10:00,331.9,332.07,326.48,327.69,2807867.48,42770,14039337.534999998,150,331.41,332.2,326.2,327.73,265717076.75,4041550,1328585409.8812,4791
2020-08-14,10:30,10:30,327.66,331.45,327.66,329.2,2049102.8,31050,10245514.36,121,328.0,331.52,327.21,329.33,195026262.06,2955915,975131307.3896998,3410
2020-08-14,11:00,11:00,329.57,330.43,328.06,330.06,1066983.7,16200,5334918.749999999,53,329.29,330.49,328.0,330.35,119102410.33,1808685,595512083.5274,2175
2020-08-14,11:30,11:30,330.74,330.99,329.32,329.33,741139.44,11225,3705697.0949999997,63,330.4,331.2,329.0,329.28,98285089.8,1488785,491425474.59050006,1807
2020-08-14,12:00,12:00,329.61,330.07,328.4,329.26,644402.37,9785,3222011.9749999996,35,329.42,330.1,328.29,329.2,75115622.3,1140810,375578135.11300004,1376
2020-08-14,12:30,12:30,329.3,329.44,328.39,328.58,535355.95,8135,2676779.81,26,329.2,329.5,328.2,328.6,42836237.37,651350,214181187.52519995,885
2020-08-14,13:00,13:00,328.4,331.18,326.96,331.18,1142253.29,17390,5711266.43,96,328.6,331.2,326.82,331.12,128336712.57,1949945,641683595.6072999,2427
2020-08-14,13:30,13:30,331.09,331.45,328.69,329.05,1135942.19,17220,5679711.16,74,331.06,331.6,328.54,329.23,121119877.09,1835785,605599410.7076999,2075
2020-08-14,14:00,14:00,329.06,329.06,327.5,327.5,424298.56,6460,2121492.6550000003,22,329.25,329.25,327.4,328.57,92423745.04,1407105,462118778.2853,1615
2020-08-14,14:30,14:30,328.62,329.28,327.87,327.92,495204.69,7530,2476023.385,25,328.54,329.34,327.84,328.14,67963875.03,1034180,339819406.1985,1341
2020-08-14,15:00,15:00,328.09,328.49,325.55,328.49,1169272.07,17880,5846360.56,60,328.09,328.82,325.33,328.17,176878463.7,2703805,884392316.2152002,3423
2020-08-14,15:30,15:30,328.13,330.33,327.8,330.14,6270111.28,95170,31350559.914999995,223,328.12,330.39,327.54,330.3,221600145.67,3365025,1108000800.7719002,4443
2020-08-17,09:30,09:30,335.6,348.88,334.63,348.84,8842886.14,128970,44214433.07500001,381,335.4,348.96,334.57,348.52,553091380.37,8082325,2765456915.3897,9072
2020-08-17,10:00,10:00,348.73,352.97,347.48,352.41,6725444.96,96210,33627226.69499999,286,348.73,353.06,347.19,352.98,452756994.56,6474620,2263784998.9165006,8226
2020-08-17,10:30,10:30,352.66,358.27,352.66,355.56,5840886.37,82120,29204434.260000005,300,352.88,358.6,352.25,355.54,439584364.18,6178430,2197921921.8561,7424
2020-08-17,11:00,11:00,355.12,355.81,351.91,353.41,2224702.0,31395,11123511.085000003,117,355.6,356.24,351.8,354.0,252319279.8,3561820,1261596498.3278,4269
2020-08-17,11:30,11:30,354.01,354.86,350.85,354.79,1587354.62,22495,7936772.754999999,105,354.06,355.6,350.7,355.17,170987454.45,2421610,854937292.6489999,2818
2020-08-17,12:00,12:00,355.08,359.29,355.0,357.82,1841860.33,25820,9209302.53,102,355.25,359.4,354.71,357.27,221150425.5,3097995,1105752217.3229,3685
2020-08-17,12:30,12:30,357.12,358.53,355.63,356.96,1720926.46,24115,8604632.205,78,357.26,358.8,355.6,356.62,128520082.65,1800435,642600423.6187,2272
2020-08-17,13:00,13:00,356.72,358.66,356.04,357.77,883316.41,12360,4416582.4799999995,43,356.6,358.8,355.83,356.99,124008633.52,1735140,620043219.0155001,2035
2020-08-17,13:30,13:30,357.22,358.42,355.72,356.93,1073319.25,15025,5366596.35,48,357.0,358.62,355.6,356.67,120681916.16,1688770,603409603.0350001,2050
2020-08-17,14:00,14:00,356.55,361.0,355.71,360.07,2729960.94,37970,13649803.615000002,157,356.45,361.0,355.11,359.61,241796987.33,3367685,1208984996.1966,4230
2020-08-17,14:30,14:30,359.54,363.28,359.54,363.28,3375916.55,46710,16879582.125,165,359.76,363.29,359.28,363.29,214996668.75,2975450,1074983380.1801,3717
2020-08-17,15:00,15:00,363.08,367.2,361.85,366.23,3657311.48,50215,18286558.445,139,363.29,367.2,361.72,366.12,286892228.08,3934340,1434461199.5655,5150
2020-08-17,15:30,15:30,365.8,369.05,364.73,366.92,9607484.46,130810,48037424.355,451,366.06,369.17,364.22,367.17,343573309.63,4680285,1717866545.9085,6395
2020-08-18,09:30,09:30,379.79,384.72,369.16,375.0,15755239.97,208715,78776203.10000001,825,379.8,384.78,369.02,375.5,891558301.55,11822005,4457791450.5443,13838
2020-08-18,10:00,10:00,375.41,378.94,371.86,375.4,5468476.88,72880,27342385.594999995,528,375.41,379.18,371.8,375.64,331986791.89,4420890,1659934030.06,5072
2020-08-18,10:30,10:30,375.16,383.28,374.97,382.39,4514124.03,59500,22570620.345,310,375.43,383.56,374.78,382.19,300263185.69,3950885,1501315954.1727002,4612
2020-08-18,11:00,11:00,382.08,382.08,377.72,377.98,4054670.15,53420,20273351.0,263,382.22,382.31,377.5,378.49,186454499.28,2453285,932272558.6879,2838
2020-08-18,11:30,11:30,378.37,378.94,375.52,378.88,3379242.62,44800,16896213.194999997,206,378.6,379.15,375.28,378.87,143950526.56,1907825,719752641.3883001,2218
2020-08-18,12:00,12:00,379.17,380.0,378.07,379.61,1871515.41,24685,9357577.3,99,378.81,380.0,377.72,379.3,97122598.46,1281435,485613013.3349999,1390
2020-08-18,12:30,12:30,379.13,380.4,377.78,377.78,2221161.87,29295,11105809.27,185,379.39,380.48,377.72,377.72,88252046.09,1163205,441260240.63920003,1420
2020-08-18,13:00,13:00,377.03,378.18,376.31,377.67,1866341.64,24725,9331707.995000001,97,377.85,378.4,375.97,377.66,101470042.14,1345045,507350188.3428,1477
2020-08-18,13:30,13:30,378.29,378.31,376.69,378.05,2659345.55,35210,13296728.215,147,377.7,378.4,376.65,378.2,69318080.13,918100,346590395.8873,1129
2020-08-18,14:00,14:00,378.4,381.66,377.5,379.74,2564879.08,33795,12824395.74,164,378.2,381.71,377.29,380.16,170390171.39,2242850,851950945.3562,2552
2020-08-18,14:30,14:30,380.61,382.57,380.6,382.07,2338607.06,30635,11693035.195,133,380.05,382.64,380.0,382.15,157556497.55,2064380,787782454.9223,2457
2020-08-18,15:00,15:00,382.26,382.5,378.59,379.09,2919554.65,38350,14597773.385,171,382.22,382.75,378.5,379.0,123479533.75,1622115,617397724.631,2076
2020-08-18,15:30,15:30,378.9,381.16,376.31,377.82,5243235.14,69315,26216178.740000002,314,378.81,381.18,376.2,377.62,234871108.25,3103095,1174355607.4679,3955
2020-08-19,09:30,09:30,372.11,375.28,368.39,374.91,5952803.74,79975,29764020.664999988,349,373.0,375.62,368.24,375.5,463941914.29,6228560,2319709618.8042006,6978
2020-08-19,10:00,10:00,376.0,381.54,375.84,379.39,5712668.86,75310,28563343.755,335,375.6,381.6,375.4,379.42,336869575.32,4444505,1684347959.4444003,5073
