date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,1220.86,1227.89,1198.39,1206.64,1213.080571,67046,81332212.23,1263,1221.48,1228.0,1196.61,1206.14,1212.418085,2356153,2856642704.0643992,12999
2020-07-02,10:00,10:00,1204.96,1218.19,1204.43,1205.76,1211.592434,14138,17129493.96,291,1206.458,1219.89,1204.01,1205.44,1212.437845,1022547,1239774659.3140001,6203
2020-07-02,10:30,10:30,1202.31,1210.575,1191.28,1193.75,1201.369645,17228,20697197.079999994,246,1206.21,1210.8,1191.0,1194.41,1200.18279,1006698,1208221556.1260002,5436
2020-07-02,11:00,11:00,1193.735,1199.29,1186.195,1195.59,1191.967184,13379,15947329.895000001,191,1194.35,1199.801,1185.6,1195.5,1192.6761,899808,1073179576.4732999,4728
2020-07-02,11:30,11:30,1191.67,1206.27,1191.41,1200.69,1199.378106,2269,2721388.8850000002,39,1195.78,1206.985,1190.84,1202.15,1200.110159,535789,643005838.8259999,2971
2020-07-02,12:00,12:00,1202.19,1209.35,1200.255,1208.91,1206.617602,4272,5154670.664999999,55,1202.154,1210.0,1199.87,1208.58,1206.63269,467351,563920996.1406,2514
2020-07-02,12:30,12:30,1208.58,1215.09,1203.53,1206.55,1210.151806,10837,13114414.95,142,1208.72,1215.37,1203.0,1205.2,1210.370264,570923,691028198.664,3261
2020-07-02,13:00,13:00,1206.065,1208.24,1198.96,1201.43,1203.614879,5768,6942450.48,92,1206.0,1208.5,1198.37,1201.56,1203.296551,371651,447206376.7334998,2121
2020-07-02,13:30,13:30,1202.12,1203.24,1199.205,1199.205,1201.174652,3253,3907421.08,52,1202.064,1203.41,1198.85,1199.49,1201.217553,258244,310207239.01559985,1468
2020-07-02,14:00,14:00,1200.0,1208.315,1200.0,1206.965,1205.636914,6259,7546081.495000001,161,1199.25,1208.5,1199.25,1207.75,1204.658117,328153,395312160.1017,1879
2020-07-02,14:30,14:30,1207.755,1214.1,1205.35,1210.895,1210.933078,4025,4874006.05,51,1207.542,1214.95,1204.853,1211.83,1210.693897,455272,551195038.3995,2495
2020-07-02,15:00,15:00,1211.33,1213.9,1205.45,1211.015,1209.327946,6658,8051705.455000001,152,1212.0,1214.4,1205.275,1211.121,1209.603446,505129,611005737.5907,3103
2020-07-02,15:30,15:30,1211.125,1212.92,1206.69,1208.0,1209.870272,13029,15763399.46,142,1210.93,1214.0,1206.4,1208.8,1209.846182,594818,719638306.6062001,3760
2020-07-06,09:30,09:30,1276.115,1302.8,1266.31,1302.8,1285.570428,33863,43533272.589999996,516,1276.69,1304.0,1266.044,1302.895,1285.374763,1907911,2452380505.9265,10406
2020-07-06,10:00,10:00,1305.0,1309.35,1292.22,1302.12,1300.852172,20836,27104556.404999994,301,1303.9,1309.75,1291.56,1302.701,1301.387236,1030136,1340605841.1567993,6379
2020-07-06,10:30,10:30,1303.495,1307.71,1298.0,1306.585,1302.573061,8975,11690593.230000002,136,1302.306,1307.89,1297.49,1307.11,1301.945531,544418,708802649.8354,3420
2020-07-06,11:00,11:00,1307.48,1325.61,1307.48,1322.595,1315.885115,15669,20618604.865,211,1307.63,1326.0,1306.2,1322.595,1316.273856,946501,1245854552.8996,5843
2020-07-06,11:30,11:30,1322.82,1341.0,1322.72,1326.505,1333.296324,14586,19447460.420000006,266,1322.743,1342.0,1321.78,1326.57,1332.867481,1162325,1549225333.9963994,6817
2020-07-06,12:00,12:00,1326.34,1331.8,1318.73,1331.8,1326.447598,7852,10415267.045000004,212,1326.25,1333.0,1318.0,1331.377,1325.752229,758955,1006186304.5927004,4440
2020-07-06,12:30,12:30,1331.31,1332.97,1323.89,1323.95,1328.13984,7671,10188161.16,158,1331.345,1332.98,1322.63,1322.63,1328.776302,354593,471174757.84660006,2126
2020-07-06,13:00,13:00,1321.505,1331.6,1321.505,1331.51,1326.408939,6911,9166812.11,86,1322.63,1332.64,1321.0,1332.64,1326.904441,401999,533414244.56630003,2523
2020-07-06,13:30,13:30,1334.47,1334.47,1324.62,1326.31,1328.514797,4701,6245348.169999999,70,1332.321,1334.95,1324.567,1325.96,1328.84718,382517,508306640.36,2312
