date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,540.33,543.15,526.41,537.04,535.017333,122767,65682473.64499999,1962,540.4,543.17,526.2,537.056,535.219222,6923528,3705605895.7213,30280
2020-11-24,10:00,10:00,536.9,541.915,535.955,539.165,539.359684,39414,21258323.040000003,663,536.895,542.3,535.51,539.255,539.026769,3107754,1675162611.393,14784
2020-11-24,10:30,10:30,539.405,546.8,539.405,546.59,544.286316,42691,23236131.869999997,628,539.2,546.9,539.2,546.49,544.311789,3467739,1887531587.5116003,15148
2020-11-24,11:00,11:00,546.525,548.45,543.95,545.59,546.378899,40358,22050762.25,484,546.575,548.53,543.55,545.434,546.421847,2109854,1152870488.6361003,10192
2020-11-24,11:30,11:30,545.35,545.35,540.02,542.31,542.576735,36945,20045498.03,514,545.4,545.486,540.0,542.61,542.65576,1799778,976659994.9622,8428
2020-11-24,12:00,12:00,542.705,546.99,541.85,546.75,544.831909,14242,7759494.410000001,240,542.68,547.0,541.85,546.92,544.724678,1447783,788643080.7610999,7035
2020-11-24,12:30,12:30,546.89,548.16,545.21,546.55,547.113819,21633,11835714.4,340,546.89,548.5,544.81,546.55,547.053613,1505215,823433294.4685999,7169
2020-11-24,13:00,13:00,546.38,549.45,545.35,547.82,547.451268,17576,9622005.84,320,546.5,549.5,545.3,547.65,547.70534,1539654,843276904.1304003,7000
2020-11-24,13:30,13:30,547.85,553.3,547.77,553.3,550.711931,33705,18561749.815,546,547.777,553.49,547.63,553.28,550.658757,2305474,1269529714.4061997,10947
2020-11-24,14:00,14:00,553.3,556.96,551.865,554.3,554.469664,34138,18928485.39,521,553.317,557.0,551.76,553.909,554.626162,2860493,1586504309.8033006,13986
2020-11-24,14:30,14:30,554.39,559.21,554.35,558.31,557.566629,18800,10482253.87,347,554.04,559.3,553.911,558.38,557.432253,2156270,1201974520.8748999,9967
2020-11-24,15:00,15:00,558.14,559.94,554.36,555.92,557.327729,35147,19588400.319999997,499,558.3,559.99,554.1,555.89,557.424315,2102967,1172245052.4059997,10247
2020-11-24,15:30,15:30,555.9,558.27,553.4,555.66,555.176557,74045,41108056.57999999,1033,555.836,558.34,553.25,555.86,555.412201,2858235,1587498801.8686998,15084
2020-11-25,09:30,09:30,550.105,559.33,545.72,550.58,551.805005,77901,42986160.214999996,1148,550.06,559.39,545.37,550.7,551.793555,5587084,3082917317.1032996,24954
2020-11-25,10:00,10:00,550.565,554.0,545.68,553.37,549.785795,34813,19139695.544999998,472,550.565,554.15,545.58,553.39,549.323975,2612111,1434895151.2491999,13032
2020-11-25,10:30,10:30,553.5,554.98,549.75,554.98,552.022288,29438,16250432.735000001,324,553.48,554.99,549.5,554.99,552.345333,1858177,1026355434.3575001,9131
2020-11-25,11:00,11:00,554.33,564.88,554.3,563.69,561.172789,30106,16894673.125000004,486,554.91,565.0,554.16,563.83,561.222856,4163641,2336730823.3918,19282
2020-11-25,11:30,11:30,563.8,566.07,561.75,562.66,563.886675,17882,10083422.06,303,563.903,566.3,561.66,562.54,563.823982,2436866,1373963647.3365002,11036
2020-11-25,12:00,12:00,562.62,565.47,562.34,563.94,564.141605,7857,4432460.46,146,562.59,565.78,562.0,563.944,564.254909,1511239,852724002.4486002,7004
2020-11-25,12:30,12:30,563.98,567.32,563.98,566.79,565.091963,6660,3763512.4,140,564.0,567.48,563.8,566.095,565.377463,1228845,694761182.4995999,5898
2020-11-25,13:00,13:00,566.07,572.39,565.9,571.92,569.152335,15534,8841212.975,267,566.06,572.4,565.27,571.856,569.018693,2374491,1351129691.458,11086
2020-11-25,13:30,13:30,571.8,572.25,568.02,569.7,570.739808,17274,9858958.825,220,571.79,572.5,567.94,570.22,570.817185,1987765,1134650538.9604998,9472
2020-11-25,14:00,14:00,570.27,570.99,566.43,568.75,569.085821,8775,4993728.86,159,570.181,571.05,566.33,568.87,568.883844,1450898,825392499.9193001,7260
2020-11-25,14:30,14:30,569.0,572.47,568.9,571.0,570.71317,11015,6286405.1,172,569.0,572.489,568.75,571.13,570.76585,1389139,792873106.6305001,7252
2020-11-25,15:00,15:00,570.98,573.805,570.22,570.95,572.64194,11456,6560187.4,198,571.02,573.84,570.18,571.255,572.585745,1684084,964282573.6897999,8635
2020-11-25,15:30,15:30,571.375,573.985,570.46,573.87,572.365675,34293,19628138.92,479,571.2,574.0,570.23,574.0,572.504323,2426347,1389094416.7630997,13364
2020-11-27,09:30,09:30,581.72,597.4,578.51,596.4,589.255208,100900,59455849.540000014,1485,581.16,597.49,578.45,596.352,589.582781,6688964,3943698324.3718,31074
2020-11-27,10:00,10:00,597.72,597.86,589.16,594.79,594.85425,57191,34020310.974999994,840,596.627,597.886,589.0,594.752,594.568575,4110768,2444133286.7509,20730
2020-11-27,10:30,10:30,594.715,597.83,592.645,597.36,595.282494,37352,22234995.97,555,594.78,597.86,592.58,597.351,595.4587,2796421,1665153006.3509004,13588
2020-11-27,11:00,11:00,597.5,598.62,587.08,589.84,593.429363,40912,24278384.625000004,736,597.395,598.78,587.0,589.92,593.803158,3243027,1925719747.7447002,15959
2020-11-27,11:30,11:30,590.0,593.12,585.75,589.0,589.72492,21064,12421967.209999997,393,589.902,593.32,585.601,588.99,589.659584,2429025,1432297788.1396,12460
2020-11-27,12:00,12:00,589.19,593.0,587.29,587.3,590.387872,12005,7087606.974999998,218,589.0,593.02,586.83,587.36,590.271235,1811120,1069052174.1250001,9495
2020-11-27,12:30,12:30,587.24,587.84,581.75,585.55,585.216918,37979,22225950.585,568,587.28,588.03,581.5,585.75,585.299405,2548961,1491905410.5830996,13505
2020-11-30,09:30,09:30,602.11,607.69,582.05,590.235,594.142186,117061,69550866.0,1765,602.21,607.8,581.558,590.49,594.77445,7596773,4518367032.857899,32688
2020-11-30,10:00,10:00,590.8,590.85,566.13,570.345,580.484864,70159,40726236.215,1120,590.351,591.0,566.01,570.016,582.576383,4467135,2602447540.3682,21038
2020-11-30,10:30,10:30,569.785,578.79,554.8,576.865,566.690707,87473,49570149.644999996,1414,570.09,578.823,554.51,576.522,568.463085,6759358,3842446123.9797,29524
2020-11-30,11:00,11:00,575.07,582.8,572.02,578.85,578.682684,26344,15244819.020000001,549,576.746,583.0,571.74,579.0,578.691289,3411951,1974466673.9970999,14521
2020-11-30,11:30,11:30,578.84,590.35,576.52,587.38,584.958807,24419,14284111.23,425,578.865,590.46,576.33,587.23,584.821896,3331036,1948062787.9136996,14365
2020-11-30,12:00,12:00,587.0,587.1,579.0,583.325,583.892762,12541,7322599.800000001,285,587.2,587.35,578.69,583.21,583.62578,2114268,1233941508.9955,9512
2020-11-30,12:30,12:30,583.46,584.46,575.5,581.85,580.116434,17558,10185684.005000003,302,583.265,584.5,575.305,581.652,579.812506,1861351,1079234638.8574,8561
2020-11-30,13:00,13:00,580.8,582.5,577.71,580.09,579.781602,11098,6434417.630000001,205,581.7,583.0,577.51,579.86,579.814247,1256607,728598732.6486999,5796
2020-11-30,13:30,13:30,580.3,584.52,579.42,580.8,582.225715,12481,7266761.095000001,242,579.88,584.73,579.08,580.466,582.329376,1495593,870927980.2498001,6876
2020-11-30,14:00,14:00,580.22,581.97,578.85,580.84,580.897206,16119,9363481.034999998,226,580.28,582.34,578.62,580.61,580.850852,925972,537851657.0397002,4433
2020-11-30,14:30,14:30,580.22,585.55,579.9,584.05,582.459404,10484,6106505.08,248,580.38,585.75,579.6,583.86,582.826906,1282683,747582113.8118002,5917
2020-11-30,15:00,15:00,584.1,585.05,578.0,578.95,581.753181,19012,11060292.024999999,366,583.97,585.3,577.9,578.86,581.917132,1232556,717245520.3309002,5619
2020-11-30,15:30,15:30,579.0,579.71,563.83,566.51,571.872011,42475,24290264.750000004,816,578.77,579.9,563.6,566.18,571.519844,3058757,1748140617.7749,15302
2020-12-01,09:30,09:30,597.13,597.53,581.3,588.77,588.581241,75297,44318407.735000014,899,597.59,597.85,581.0,588.931,588.360932,5575827,3280599239.1176,23200
2020-12-01,10:00,10:00,589.13,592.56,578.6,582.0,586.014869,49081,28762197.720000003,629,588.774,592.88,578.5,581.507,585.497908,3850844,2254661055.7861996,18202
2020-12-01,10:30,10:30,581.53,585.22,572.37,584.55,578.435157,49398,28573537.3,569,581.619,585.5,572.05,584.675,579.198609,3663389,2121829951.2088,17413
2020-12-01,11:00,11:00,584.795,584.97,580.23,580.775,582.328679,26188,15250023.975,474,584.685,584.99,580.141,581.0,582.253177,1427510,831172274.2955,7368
2020-12-01,11:30,11:30,581.03,584.79,579.15,584.235,581.918834,25771,14996631.569999997,341,581.09,584.95,579.07,584.16,582.318854,1302040,758202586.5822998,6491
2020-12-01,12:00,12:00,584.02,586.61,581.95,582.51,584.349314,16020,9361276.43,288,584.1,586.83,581.93,582.52,584.395948,1328180,776183119.5254,6458
2020-12-01,12:30,12:30,582.24,582.85,576.63,579.8,580.722027,29378,17060456.939999998,449,582.52,582.98,576.42,579.695,580.485252,1568411,910439458.8231999,8048
2020-12-01,13:00,13:00,580.06,582.6,579.22,582.205,580.95797,7911,4595958.91,196,579.877,582.66,579.2,582.4,581.176635,741071,430693189.8983,3841
2020-12-01,13:30,13:30,582.21,583.14,580.31,582.36,581.756121,21214,12341375.600000001,323,582.26,583.19,580.3,582.59,581.996819,747030,434769138.4387,3808
2020-12-01,14:00,14:00,582.48,583.42,577.81,577.81,582.226487,23942,13939666.425,259,582.48,583.39,577.17,577.948,581.554433,908809,528521923.21269995,4703
2020-12-01,14:30,14:30,577.72,582.285,575.48,581.185,579.853331,20942,12143286.680000002,420,577.695,582.4,575.34,581.4,579.477536,1370151,793971700.4727999,6980
2020-12-01,15:00,15:00,581.6,582.47,577.52,581.62,581.050552,25115,14593085.389999999,363,581.4,582.5,577.41,581.668,580.647314,1131069,656752281.2769002,6046
2020-12-01,15:30,15:30,581.665,585.425,578.94,584.99,582.842465,52324,30496648.159999996,619,581.65,585.5,578.74,585.19,582.960527,1760505,1026304963.4717002,9736
2020-12-02,09:30,09:30,555.77,564.15,541.57,559.35,550.091107,158292,87075027.785,2636,556.44,564.304,541.21,559.01,551.317444,7786525,4292847412.0073,34859
2020-12-02,10:00,10:00,559.455,562.67,556.89,562.01,560.349087,19773,11079785.335000003,386,558.72,562.98,556.59,562.618,560.295864,1683051,943006431.2521002,7587
2020-12-03,09:30,09:30,590.23,595.57,584.5,589.33,590.422585,73343,43303356.585,1374,590.02,595.9,584.33,589.315,590.689128,5934441,3505410447.5083,25962
2020-12-03,10:00,10:00,589.35,590.0,582.55,588.195,586.211411,36785,21563792.91000001,888,589.16,590.0,582.43,588.16,586.419457,2619472,1536109642.9378004,12837
2020-12-03,10:30,10:30,588.535,590.88,585.0,586.44,587.951823,27758,16320367.635,719,588.165,591.0,585.0,586.305,588.164751,1782490,1048397943.6850001,8183
2020-12-03,11:00,11:00,586.29,588.39,583.83,587.08,586.059403,19231,11270509.09,630,586.49,588.44,583.69,587.433,586.007971,1295547,759200868.0019,5952
2020-12-03,11:30,11:30,587.38,590.25,586.495,589.835,588.758082,22384,13178761.599999996,593,587.37,590.31,586.43,589.95,588.772859,1270752,748184177.4006001,5998
2020-12-03,12:00,12:00,590.0,593.54,589.52,592.465,591.774973,29536,17478667.39,696,589.98,593.6,589.41,592.58,591.671975,1890219,1118389352.1901999,8369
2020-12-03,12:30,12:30,592.505,593.0,589.51,592.51,591.021189,16245,9601137.83,508,592.52,593.0,589.45,592.5,591.187003,978226,578314553.2105,4598
2020-12-03,13:00,13:00,592.31,594.46,590.915,594.15,592.482853,16072,9522384.02,542,592.367,594.5,590.8,594.13,592.712099,925327,548452566.6368,4728
2020-12-03,13:30,13:30,594.13,598.0,593.235,595.39,596.082634,32002,19075838.315,762,594.11,598.0,593.17,595.675,596.189772,2755285,1642672773.2014003,12772
2020-12-03,14:00,14:00,595.775,598.95,595.475,596.21,597.32272,19093,11404682.915,526,595.77,598.97,595.45,596.325,597.417172,1670134,997766775.6379001,7951
2020-12-03,14:30,14:30,596.375,598.225,595.43,596.78,596.969541,11162,6663374.85,435,596.5,598.31,595.36,596.82,596.993647,1067903,637531430.6869,5063
2020-12-03,15:00,15:00,596.725,596.725,591.52,594.88,593.792342,23098,13715415.535,603,596.904,596.904,591.5,594.81,593.640999,1838875,1091631585.7417,8912
2020-12-03,15:30,15:30,594.82,596.455,592.09,593.09,594.131262,44557,26472706.945000008,905,594.845,596.54,592.0,593.28,593.978252,1874058,1113149799.1100001,10103
2020-12-04,09:30,09:30,591.625,595.6,585.9,594.16,591.066362,38470,22738319.475,658,591.01,595.78,585.5,595.49,591.508857,3866171,2286874755.8916,15971
2020-12-04,10:00,10:00,595.625,597.39,591.5,591.54,594.6132,23204,13797407.09,415,595.27,597.44,591.26,591.74,594.786385,2194514,1305267435.7903998,10293
2020-12-04,10:30,10:30,592.26,595.24,589.31,590.865,592.560358,21852,12948629.090000004,424,591.86,595.43,589.18,590.515,592.472174,1475481,874181414.0664,7076
2020-12-04,11:00,11:00,590.375,591.29,587.78,591.29,589.475811,20237,11929222.395000001,332,590.44,591.559,587.75,591.398,589.636945,1412255,832717723.1735001,6674
2020-12-04,11:30,11:30,591.15,592.645,590.01,591.145,591.261995,11008,6508612.870000001,238,591.38,592.89,589.92,591.19,591.321519,908817,537403095.1493,4101
2020-12-04,12:00,12:00,591.215,594.7,590.32,593.535,592.902636,14451,8568036.505,228,591.124,594.79,590.3,593.42,593.090796,1132806,671856828.3567,5134
2020-12-04,12:30,12:30,594.0,595.73,593.31,594.0,594.733375,20255,12046328.39,242,593.53,596.0,593.24,593.67,594.786576,1034515,615315597.2863001,4936
2020-12-04,13:00,13:00,593.7,594.87,592.49,593.27,593.949029,9702,5762494.244999999,182,593.873,594.95,592.41,593.16,593.920033,647188,384377968.18030006,3126
2020-12-04,13:30,13:30,592.9,593.64,590.59,592.55,592.084868,12690,7513558.844999999,180,593.14,593.69,590.33,592.99,591.943325,912483,540138277.0785,4142
