date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,423.84,430.435,420.42,426.5,425.699391,46153,19647308.03,585,423.76,430.5,420.1,426.51,426.138573,4059899,1730079457.7562997,17377
2020-10-27,10:00,10:00,427.3,428.22,423.71,424.62,425.114205,15705,6676418.665,274,426.498,428.23,423.52,424.61,425.267657,1695797,721167676.2078999,7588
2020-10-27,10:30,10:30,425.6,428.86,425.29,428.02,427.14524,13769,5881364.129999999,219,424.6,428.88,424.25,427.76,426.990893,1305424,557404173.2537999,5992
2020-10-27,11:00,11:00,428.2,428.2,425.03,425.405,426.420263,12226,5213415.129999999,177,427.87,428.397,425.0,425.655,426.671548,856406,365404070.5038,4069
2020-10-27,11:30,11:30,425.4,426.96,424.07,425.86,425.394295,13198,5614356.27,161,425.486,427.15,423.85,425.721,425.649618,799503,340308170.2317,3696
2020-10-27,12:00,12:00,425.54,425.54,422.52,422.545,424.067894,11601,4919613.195,184,425.81,425.82,422.5,422.66,423.926366,990051,419708795.23600006,4276
2020-10-27,12:30,12:30,422.59,424.87,422.43,424.16,423.64659,8006,3391714.3099999996,130,422.69,425.08,422.26,424.343,423.656477,847356,358987903.75909996,3802
2020-10-27,13:00,13:00,424.32,424.32,422.42,423.06,423.388919,7533,3189388.7350000003,112,424.23,424.34,422.37,423.01,423.377795,508936,215472201.65499997,2433
2020-10-27,13:30,13:30,423.11,424.78,422.07,423.41,423.603131,9796,4149617.225,133,423.003,424.8,422.03,423.192,423.542745,677706,287037487.11,3142
2020-10-27,14:00,14:00,423.18,423.63,420.96,422.41,422.130333,12673,5349658.244999999,184,423.18,423.63,420.806,422.39,422.039204,782399,330203088.1061001,3972
2020-10-27,14:30,14:30,422.24,423.74,421.3,423.35,422.294389,9134,3857237.475,136,422.25,424.0,421.25,423.25,422.610501,733848,310131889.4452,3778
2020-10-27,15:00,15:00,423.48,424.49,421.98,424.3,423.499118,11616,4919366.324999999,150,423.297,424.53,421.92,424.35,423.489185,710397,300845463.8234,3517
2020-10-27,15:30,15:30,424.29,425.54,423.67,424.61,424.676258,27394,11633580.495000001,357,424.29,425.64,423.58,424.471,424.633409,1179773,500971081.7175,6754
2020-10-28,09:30,09:30,416.225,418.44,406.58,410.0,412.684626,50443,20817051.460000005,738,416.48,418.6,406.5,409.92,411.780912,3505253,1443396915.7999,15996
2020-10-28,10:00,10:00,409.43,413.25,408.7,411.99,411.018006,37629,15466201.115000002,463,409.97,413.31,408.59,411.931,411.01957,1934338,795050746.7005998,8945
2020-10-28,10:30,10:30,411.37,414.53,411.06,412.83,412.691216,11013,4544969.05,190,411.849,414.69,411.01,413.08,412.903195,1399889,578018744.4829,6086
2020-10-28,11:00,11:00,412.83,415.21,410.51,413.1,413.072199,11815,4880448.755,186,412.851,415.21,410.47,413.167,413.140134,1093753,451873347.92309994,4924
2020-10-28,11:30,11:30,412.94,412.94,410.45,411.94,411.763373,16960,6983506.835000001,287,413.1,413.1,410.455,412.02,411.791587,1097794,452062410.8035001,4985
2020-10-28,12:00,12:00,412.23,413.7,411.0,411.34,412.622975,10696,4413416.295,185,411.94,413.87,410.944,411.42,412.616986,765095,315691249.3449,3539
2020-10-28,12:30,12:30,411.37,412.0,409.34,410.505,410.642535,24269,9965883.76,257,411.494,412.09,409.25,410.565,410.555057,908282,372899822.82040006,4386
2020-10-28,13:00,13:00,410.355,411.075,408.6,410.1,409.816411,21279,8720486.014999999,266,410.34,411.14,408.32,410.33,409.478835,911912,373408729.5867999,4611
2020-10-28,13:30,13:30,410.21,412.07,409.36,412.03,410.54383,9502,3900987.8049999997,154,410.25,412.18,409.31,411.97,410.604073,622667,255669643.54810002,3241
