date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,439.665,451.47,435.62,451.24,441.803107,77472,34227365.745000005,1090,439.87,451.476,435.31,451.233,442.490667,8138946,3601408078.5378995,35185
2020-09-16,10:00,10:00,451.395,457.63,449.115,453.19,453.9676,31956,14506990.964999998,511,451.165,457.79,449.04,453.022,453.358239,6395095,2899269359.2997994,28461
2020-09-16,10:30,10:30,452.88,455.19,442.61,447.32,447.675894,28567,12788758.940000001,422,452.9,455.2,442.5,447.23,447.927761,5553575,2487601017.8526998,22911
2020-09-16,11:00,11:00,447.055,452.135,446.885,448.23,449.94069,14764,6642925.605,200,447.325,452.8,446.5,448.471,450.300533,4153353,1870257598.1966999,16272
2020-09-16,11:30,11:30,448.75,450.895,445.32,446.615,447.547231,6460,2891155.1600000006,110,448.55,451.0,445.2,446.31,447.943474,2226739,997453469.2708,9007
2020-09-16,12:00,12:00,446.65,449.17,445.05,446.75,447.354539,10892,4872587.6,147,446.57,449.374,445.02,446.73,447.62771,2460203,1101255340.1568003,10029
2020-09-16,12:30,12:30,446.43,446.835,441.47,445.64,444.286874,12587,5592239.5200000005,211,446.7,447.0,441.2,445.47,444.517849,2755235,1224751448.0686002,11576
2020-09-16,13:00,13:00,445.735,447.84,444.07,444.59,446.23571,7591,3387376.710000001,114,445.5,448.41,443.87,444.885,446.210541,2255732,1006531529.5969996,9933
2020-09-16,13:30,13:30,444.78,447.16,442.66,446.36,443.998172,11028,4896413.550000001,144,444.94,447.2,442.5,446.02,444.533997,2425485,1078210711.2998002,9919
2020-09-16,14:00,14:00,446.68,453.585,446.12,450.425,449.555904,12477,5609110.145,221,446.086,453.997,445.5,449.86,449.772073,4620951,2078374781.5897,19177
2020-09-16,14:30,14:30,450.37,450.89,445.22,446.95,447.392401,12030,5382128.850000001,175,450.14,451.2,445.05,446.87,447.902525,2997326,1342509681.1914997,12861
2020-09-16,15:00,15:00,447.58,449.29,443.37,444.83,445.919724,11321,5048258.53,221,446.79,449.4,443.21,444.827,446.051745,3642746,1624853182.7694001,13319
