date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,35.24,35.93,35.21,35.61,35.528573,24874,883737.32,258,35.35,35.98,35.2,35.596,35.539172,3745581,133114903.81840003,9797
2020-08-14,10:00,10:00,35.65,36.505,35.59,36.505,36.023307,23115,832678.27,183,35.62,36.542,35.56,36.525,36.017913,3896967,140360955.0205,9651
2020-08-14,10:30,10:30,36.49,36.535,36.015,36.18,36.213573,8638,312813.235,125,36.53,36.539,35.985,36.198,36.219992,3280790,118830384.2781,7355
2020-08-14,11:00,11:00,36.185,36.5,36.105,36.395,36.218367,13080,473735.6800000001,117,36.19,36.53,36.1,36.419,36.327525,2010899,73051185.88759997,4585
2020-08-14,11:30,11:30,36.435,36.57,36.295,36.395,36.421438,11307,411817.01999999996,148,36.427,36.571,36.28,36.39,36.421722,2117446,77121209.4728,4994
2020-08-14,12:00,12:00,36.415,36.44,36.17,36.2,36.250593,6623,240087.905,92,36.39,36.45,36.14,36.21,36.250206,1330548,48232792.8569,3321
2020-08-14,12:30,12:30,36.19,36.19,35.82,35.875,35.965393,4501,161880.16000000003,85,36.205,36.21,35.81,35.86,35.981546,1409458,50714459.07409999,3375
2020-08-14,13:00,13:00,35.855,36.165,35.84,36.075,36.040706,8693,313301.82000000007,143,35.86,36.17,35.82,36.043,36.02421,1597247,57539505.021800004,3505
2020-08-14,13:30,13:30,36.045,36.455,36.045,36.265,36.267831,6920,250973.30999999994,128,36.04,36.46,36.03,36.23,36.281971,1897132,68831723.00690001,4203
2020-08-14,14:00,14:00,36.24,36.325,36.115,36.115,36.196318,3683,133310.825,127,36.235,36.34,36.11,36.115,36.201544,1041665,37710006.7809,2372
2020-08-14,14:30,14:30,36.12,36.155,36.0,36.125,36.0967,3538,127710.90999999997,122,36.12,36.17,35.98,36.121,36.080297,928339,33494861.8825,2587
2020-08-14,15:00,15:00,36.145,36.165,36.02,36.165,36.091045,5017,181068.65499999997,177,36.125,36.17,36.01,36.155,36.098828,1268059,45775498.92769999,3541
2020-08-14,15:30,15:30,36.155,36.3,36.01,36.18,36.13278,16362,591205.9400000001,249,36.15,36.3,35.99,36.19,36.149318,2178305,78744154.01789999,6687
