date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,42.82,44.395,42.46,44.345,43.450717,98565,4282734.0200000005,679,42.708,44.4,42.45,44.338,43.478634,6173978,268435704.53349996,19031
2020-11-24,10:00,10:00,44.31,44.51,43.98,44.29,44.304988,53824,2384673.1650000005,414,44.33,44.52,43.94,44.28,44.271664,3103779,137409494.7074,11169
2020-11-24,10:30,10:30,44.275,44.37,43.38,43.49,43.871343,31814,1395719.525,240,44.28,44.38,43.37,43.48,43.899226,2157322,94704693.2061,7096
2020-11-24,11:00,11:00,43.5,44.04,43.43,44.01,43.694359,18859,824031.935,213,43.49,44.06,43.42,44.03,43.692425,1575495,68837229.81260002,5072
2020-11-24,11:30,11:30,44.07,44.24,43.785,44.045,44.025774,26662,1173817.8799999997,189,44.05,44.25,43.77,44.06,44.032369,1614339,71083328.7538,4480
2020-11-24,12:00,12:00,44.075,44.415,44.02,44.415,44.239269,18115,801395.9299999998,174,44.06,44.42,44.01,44.414,44.233696,1304138,57686889.227499984,4064
2020-11-24,12:30,12:30,44.43,44.505,44.01,44.11,44.247255,24547,1086140.235,182,44.416,44.505,44.01,44.12,44.263122,1516957,67145352.426,4628
2020-11-24,13:00,13:00,44.13,44.27,43.95,44.26,44.08325,13478,594152.3949999999,134,44.112,44.28,43.935,44.28,44.096938,916679,40422734.43479999,3272
2020-11-24,13:30,13:30,44.275,44.39,44.17,44.275,44.281441,15845,701638.81,156,44.29,44.39,44.155,44.22,44.280654,853721,37803312.8653,2853
2020-11-24,14:00,14:00,44.22,44.27,43.99,44.05,44.133436,13583,599464.205,117,44.205,44.28,43.97,44.02,44.134205,852578,37627912.173,2850
2020-11-24,14:30,14:30,44.03,44.55,43.92,44.55,44.222291,25889,1144870.5749999997,200,44.015,44.57,43.9,44.55,44.232016,1480515,65486295.57919999,5238
2020-11-24,15:00,15:00,44.55,44.71,44.5,44.67,44.607734,33144,1478478.93,271,44.543,44.72,44.473,44.66,44.603267,1463839,65291899.964900024,5497
2020-11-24,15:30,15:30,44.67,44.99,44.64,44.975,44.831113,61634,2763127.51,450,44.66,45.0,44.635,44.96,44.835799,2753393,123450492.55209999,11354
2020-11-25,09:30,09:30,44.49,44.66,43.68,43.98,44.002415,84227,3706192.8800000004,494,44.49,44.665,43.65,44.01,44.030389,4455694,196185884.6523,13469
2020-11-25,10:00,10:00,44.0,44.72,43.84,44.5,44.186314,36152,1597428.24,274,44.01,44.73,43.81,44.6,44.273504,1965963,87040129.99180001,7336
2020-11-25,10:30,10:30,44.63,45.74,44.63,45.51,45.373094,60170,2730098.505,337,44.605,45.77,44.605,45.54,45.308823,2879086,130448512.32560001,9719
2020-11-25,11:00,11:00,45.575,45.76,45.06,45.22,45.444401,69561,3161165.75,232,45.54,45.78,45.05,45.24,45.459562,2097546,95353639.12209998,6539
2020-11-25,11:30,11:30,45.27,45.64,45.095,45.64,45.367755,17926,813263.065,185,45.23,45.69,45.1,45.68,45.397121,1144998,51979614.0542,4043
2020-11-25,12:00,12:00,45.685,45.9,45.415,45.43,45.639637,23241,1060710.29,161,45.69,45.91,45.41,45.43,45.628579,1397100,63747732.45280002,4502
2020-11-25,12:30,12:30,45.46,45.59,45.35,45.4,45.466041,21327,969653.33,202,45.44,45.612,45.33,45.4,45.479762,704597,32044924.2901,2454
2020-11-25,13:00,13:00,45.39,45.54,45.3,45.405,45.426101,15546,706195.115,144,45.396,45.55,45.29,45.37,45.427661,712944,32387395.971100003,2531
2020-11-25,13:30,13:30,45.35,45.485,45.235,45.275,45.341015,11855,537517.99,105,45.36,45.49,45.23,45.3,45.343879,584454,26501453.2439,2206
