date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,35.17,35.54,34.97,35.29,35.214856,61910,2180146.975,397,35.11,35.55,34.96,35.289,35.216227,2453239,86394084.97049999,7894
2020-10-27,10:00,10:00,35.31,35.63,34.885,34.99,35.203526,35417,1246805.0500000003,216,35.285,35.65,34.88,35.05,35.251219,1924839,67853034.34470001,6015
2020-10-27,10:30,10:30,35.08,35.11,34.695,34.76,34.869638,58499,2039844.41,328,35.054,35.11,34.695,34.74,34.852511,1933702,67394572.26520002,6307
2020-10-27,11:00,11:00,34.765,35.04,34.725,34.81,34.849523,25432,886293.375,224,34.75,35.06,34.725,34.825,34.875118,1312626,45778135.4897,4101
2020-10-27,11:30,11:30,34.825,34.9,34.705,34.87,34.796326,29513,1026942.8600000001,257,34.825,34.9,34.695,34.885,34.793079,962402,33484997.8213,3604
2020-10-27,12:00,12:00,34.87,34.87,34.75,34.76,34.793988,19191,667731.7649999999,173,34.89,34.895,34.74,34.755,34.803961,656247,22840001.796099994,2510
2020-10-27,12:30,12:30,34.745,34.775,34.41,34.49,34.572403,28079,970759.395,220,34.75,34.78,34.41,34.495,34.555981,989700,34200105.35279999,4101
2020-10-27,13:00,13:00,34.495,34.6,34.385,34.6,34.454313,36910,1271707.94,282,34.5,34.605,34.38,34.605,34.465546,821996,28330575.72920001,3456
2020-10-27,13:30,13:30,34.615,34.685,34.535,34.61,34.60038,13638,471883.005,141,34.6,34.706,34.53,34.61,34.61031,741912,25677881.418300003,2595
2020-10-27,14:00,14:00,34.62,34.62,34.395,34.435,34.473455,18579,640481.8099999999,164,34.6,34.635,34.39,34.43,34.480923,683621,23571880.701,2582
2020-10-27,14:30,14:30,34.435,34.5,34.38,34.46,34.422937,13851,476793.6,147,34.43,34.51,34.37,34.455,34.431646,633970,21828685.424200002,2369
2020-10-27,15:00,15:00,34.465,34.465,34.15,34.35,34.297448,37644,1291093.8599999996,254,34.46,34.47,34.15,34.35,34.297452,1125987,38618465.982200004,4668
2020-10-27,15:30,15:30,34.35,34.41,34.155,34.215,34.283341,46593,1597364.325,415,34.35,34.415,34.15,34.175,34.257173,1414907,48470761.6573,7107
2020-10-28,09:30,09:30,33.09,33.63,32.6,32.685,33.085302,166805,5518780.169999998,827,33.11,33.66,32.6,32.67,33.027304,3780899,124873249.8535,13494
2020-10-28,10:00,10:00,32.665,32.77,32.45,32.51,32.614645,59128,1928441.87,395,32.675,32.79,32.44,32.53,32.61495,1983809,64702047.715299994,7864
2020-10-28,10:30,10:30,32.53,32.53,32.165,32.195,32.325395,49611,1603695.3649999995,257,32.525,32.53,32.16,32.2,32.336312,1710584,55314245.4664,7253
2020-10-28,11:00,11:00,32.21,32.415,32.165,32.37,32.28354,44101,1423742.1800000002,290,32.19,32.43,32.161,32.39,32.276644,1318423,42554370.32800001,5495
2020-10-28,11:30,11:30,32.37,32.94,32.225,32.94,32.597692,37010,1206438.7049999998,253,32.385,32.955,32.22,32.94,32.583295,1477915,48155565.02259999,5671
2020-10-28,12:00,12:00,32.94,33.26,32.92,33.03,33.100765,30996,1025991.38,165,32.94,33.268,32.91,33.02,33.096746,1498255,49587355.49210001,5621
2020-10-28,12:30,12:30,33.015,33.05,32.62,32.82,32.789428,24137,791440.0800000002,169,33.02,33.09,32.6,32.82,32.809322,970633,31845881.758300003,3484
2020-10-28,13:00,13:00,32.8,32.81,32.48,32.66,32.612945,21713,708126.055,148,32.81,32.839,32.477,32.67,32.612695,817915,26674423.182699993,3103
2020-10-28,13:30,13:30,32.65,32.86,32.52,32.63,32.691484,23192,758181.63,149,32.66,32.86,32.51,32.635,32.676895,839238,27423780.7121,3681
2020-10-28,14:00,14:00,32.625,32.79,32.45,32.76,32.596361,25108,818429.63,143,32.63,32.815,32.44,32.758,32.593338,900622,29354265.0764,3376
2020-10-28,14:30,14:30,32.79,33.065,32.66,33.02,32.841126,35870,1178010.53,210,32.76,33.08,32.65,32.98,32.831865,1046456,34357033.99820001,4315
2020-10-28,15:00,15:00,32.975,32.995,32.73,32.79,32.831467,29350,963603.8399999999,189,32.985,33.0,32.73,32.79,32.834343,927984,30469700.5939,4197
2020-10-28,15:30,15:30,32.805,32.88,32.56,32.6,32.671567,82872,2707565.7399999998,589,32.79,32.895,32.55,32.62,32.68725,1756009,57399176.0702,8784
2020-10-29,09:30,09:30,32.6,33.34,32.44,33.19,32.80198,59727,1959170.9949999992,353,32.63,33.36,32.43,33.145,32.853538,2329057,76517940.32759999,7318
2020-10-29,10:00,10:00,33.18,33.66,33.08,33.595,33.309498,37645,1253936.0400000003,235,33.17,33.67,33.08,33.56,33.31762,1517986,50575812.0273,6086
2020-10-29,10:30,10:30,33.64,33.745,33.295,33.32,33.583156,59583,2000981.4500000004,398,33.57,33.75,33.29,33.33,33.576562,1739943,58421341.1604,7628
2020-10-29,11:00,11:00,33.32,33.345,33.0,33.15,33.15704,34801,1153901.0699999998,228,33.32,33.35,32.995,33.151,33.14478,1252155,41502509.9268,4395
2020-10-29,11:30,11:30,33.18,33.2,32.93,32.99,33.066136,19541,646148.97,130,33.17,33.21,32.92,32.991,33.075452,984640,32567487.984799996,3226
2020-10-29,12:00,12:00,33.02,33.23,32.97,33.17,33.113119,16604,549808.475,163,32.99,33.25,32.94,33.175,33.120408,955235,31637821.2565,3638
2020-10-29,12:30,12:30,33.19,33.275,33.04,33.1,33.154911,12507,414670.07999999996,100,33.176,33.29,33.05,33.1,33.15927,583390,19344853.2743,2214
2020-10-29,13:00,13:00,33.095,33.16,32.95,33.15,33.044848,12200,403148.02999999997,106,33.11,33.16,32.944,33.13,33.033309,536026,17706756.621299997,2119
2020-10-29,13:30,13:30,33.14,33.49,33.12,33.49,33.300415,19521,650057.355,133,33.14,33.49,33.102,33.485,33.315373,793619,26439787.307500005,2685
2020-10-29,14:00,14:00,33.46,33.61,33.38,33.53,33.49016,33140,1109868.31,234,33.485,33.61,33.36,33.53,33.487883,1175537,39366356.432100005,4851
2020-10-29,14:30,14:30,33.53,33.585,33.29,33.535,33.450854,25821,863736.2449999999,159,33.53,33.59,33.28,33.54,33.450765,971829,32508519.9663,3336
2020-10-29,15:00,15:00,33.54,33.595,33.3,33.55,33.473244,28346,948831.8300000003,198,33.54,33.6,33.294,33.55,33.468547,956251,32004416.4173,3752
2020-10-29,15:30,15:30,33.555,33.695,33.54,33.575,33.617726,42001,1411973.51,371,33.55,33.7,33.54,33.56,33.612348,1628297,54730860.412999995,7180
2020-10-30,09:30,09:30,33.14,33.73,33.05,33.49,33.424071,49033,1638891.53,301,33.15,33.75,33.03,33.52,33.397835,2344714,78308566.28230001,6678
2020-10-30,10:00,10:00,33.51,33.95,33.21,33.22,33.620206,36410,1224113.4749999999,310,33.51,33.95,33.17,33.215,33.562691,1729869,58059070.099,5139
2020-10-30,10:30,10:30,33.2,33.32,32.85,32.85,33.079165,22122,731779.0449999999,179,33.21,33.34,32.83,32.83,33.072495,1472282,48692158.0424,5048
2020-10-30,11:00,11:00,32.89,33.54,32.89,33.32,33.292032,38709,1288704.8199999998,257,32.835,33.54,32.835,33.337,33.286619,1284117,42743988.012600005,4943
2020-10-30,11:30,11:30,33.31,33.39,33.1,33.39,33.262479,20007,665483.9700000001,149,33.33,33.39,33.09,33.39,33.25453,691652,23000594.9839,2265
2020-10-30,12:00,12:00,33.38,33.58,33.23,33.34,33.397475,23297,778060.27,151,33.39,33.58,33.219,33.324,33.382708,758225,25311644.203700002,2829
2020-10-30,12:30,12:30,33.29,33.35,33.125,33.15,33.255302,13732,456665.0699999999,104,33.32,33.35,33.122,33.14,33.247272,428968,14262013.731299996,1655
2020-10-30,13:00,13:00,33.125,33.31,33.12,33.2,33.235386,15425,512654.12,130,33.13,33.307,33.1,33.235,33.229317,440734,14645302.514099998,2101
2020-10-30,13:30,13:30,33.21,33.68,32.98,33.665,33.319874,42092,1402504.69,304,33.23,33.69,32.98,33.63,33.348343,1488687,49645322.45069999,7155
2020-10-30,14:00,14:00,33.61,34.01,33.58,33.635,33.814884,63203,2137212.79,404,33.66,34.02,33.57,33.61,33.810084,2226212,75268583.50230001,9770
2020-10-30,14:30,14:30,33.59,33.8,33.55,33.705,33.678108,36044,1213895.905,182,33.62,33.82,33.54,33.69,33.683093,1110507,37405218.36249999,4727
2020-10-30,15:00,15:00,33.67,33.79,33.61,33.62,33.683907,50292,1694033.7100000002,263,33.69,33.79,33.6,33.61,33.684761,963231,32446196.0942,4673
2020-10-30,15:30,15:30,33.62,33.89,33.43,33.87,33.659915,64197,2160872.6599999997,432,33.6,33.89,33.42,33.88,33.653026,1741564,58608891.3797,8262
2020-11-02,09:30,09:30,34.07,34.09,32.99,33.21,33.497578,73323,2456149.815,430,34.08,34.1,32.95,33.21,33.494599,2160041,72349970.11,8028
2020-11-02,10:00,10:00,33.24,33.57,33.19,33.38,33.352902,37328,1244995.4100000001,235,33.24,33.574,33.18,33.38,33.37909,1326219,44268001.0899,5099
2020-11-02,10:30,10:30,33.37,33.595,33.28,33.55,33.403331,23815,795500.045,210,33.38,33.6,33.26,33.58,33.426136,1090255,36443087.5411,3826
2020-11-02,11:00,11:00,33.6,33.77,33.525,33.74,33.689483,20263,682650.13,128,33.58,33.775,33.52,33.74,33.634307,1352316,45484227.293299995,4330
2020-11-02,11:30,11:30,33.745,33.785,33.55,33.77,33.67082,21375,719716.4749999999,160,33.75,33.79,33.55,33.76,33.679037,732646,24674903.777100004,2823
2020-11-02,12:00,12:00,33.79,33.805,33.585,33.63,33.709473,14985,505136.33499999996,158,33.76,33.82,33.58,33.63,33.706403,500685,16876316.044200003,2462
2020-11-02,12:30,12:30,33.64,33.64,33.36,33.55,33.498006,22792,763486.065,186,33.63,33.645,33.359,33.54,33.484347,638667,21385380.5608,2422
2020-11-02,13:00,13:00,33.535,33.55,33.14,33.27,33.309307,16282,542343.275,127,33.53,33.55,33.12,33.279,33.30863,716519,23866234.1134,2944
2020-11-02,13:30,13:30,33.275,33.485,33.27,33.35,33.345835,14878,496119.51999999996,121,33.28,33.485,33.245,33.33,33.373235,662353,22104884.1486,2342
2020-11-02,14:00,14:00,33.3,33.58,33.3,33.57,33.434156,15092,504587.525,152,33.32,33.599,33.28,33.59,33.434694,624952,20895120.660199992,2319
2020-11-02,14:30,14:30,33.6,33.87,33.55,33.65,33.698781,21701,731298.2,165,33.6,33.885,33.543,33.658,33.718085,771275,26005977.691099998,2803
2020-11-02,15:00,15:00,33.69,33.76,33.59,33.735,33.687889,23921,805848.0,169,33.65,33.77,33.58,33.733,33.683618,546021,18392101.351799995,2398
2020-11-02,15:30,15:30,33.73,33.81,33.585,33.75,33.707159,46176,1556465.09,315,33.74,33.82,33.58,33.78,33.721027,1101456,37142378.6103,5155
2020-11-03,09:30,09:30,34.35,34.67,34.245,34.48,34.512767,100816,3479449.309999999,595,34.32,34.68,34.21,34.47,34.483658,2384412,82223207.05349998,8334
2020-11-03,10:00,10:00,34.465,34.56,33.965,34.0,34.212188,37748,1291444.73,274,34.47,34.57,33.95,34.037,34.231732,1562464,53486048.76139999,5012
2020-11-03,10:30,10:30,34.03,34.135,33.85,34.12,33.980913,31728,1078150.9549999996,227,34.028,34.15,33.84,34.12,33.975693,1276489,43369612.73139999,4077
2020-11-03,11:00,11:00,34.115,34.16,33.95,34.04,34.047895,29911,1018407.3500000001,232,34.115,34.165,33.94,34.04,34.048338,903305,30756123.6838,3191
2020-11-03,11:30,11:30,34.045,34.275,33.94,34.16,34.127951,26166,892992.3200000001,244,34.045,34.285,33.94,34.17,34.133086,1009269,34449534.589,3979
