date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,36.78,37.09,36.45,36.805,36.759959,19758,726305.6400000001,174,36.9,37.12,36.36,36.805,36.80252,2488761,91592907.19609998,6716
2020-09-16,10:00,10:00,36.805,37.51,36.785,37.445,37.31033,22682,846273.8549999999,184,36.8,37.525,36.775,37.43,37.269131,2251862,83924984.6976,7702
2020-09-16,10:30,10:30,37.405,38.145,37.315,38.14,37.694381,28321,1067542.7,235,37.43,38.165,37.31,38.163,37.774397,2631622,99407943.13149999,8515
2020-09-16,11:00,11:00,38.17,38.635,38.14,38.215,38.398438,105394,4046974.4150000005,747,38.16,38.64,38.13,38.24,38.38609,5096536,195636406.64180002,17388
2020-09-16,11:30,11:30,38.235,38.385,37.89,38.2,38.100594,27901,1063042.94,220,38.24,38.45,37.88,38.18,38.142939,2928390,111697343.80150002,8345
2020-09-16,12:00,12:00,38.175,38.255,37.925,38.085,38.052407,9677,368233.16500000004,137,38.18,38.265,37.925,38.086,38.039766,1396970,53140410.022499986,4345
2020-09-16,12:30,12:30,38.085,38.28,37.995,38.27,38.130496,7545,287695.28500000003,109,38.08,38.295,37.98,38.29,38.144088,1252248,47766007.7874,3858
2020-09-16,13:00,13:00,38.29,38.5,38.07,38.5,38.311637,9908,379591.0,111,38.29,38.5,38.07,38.495,38.318043,1823518,69873926.493,6184
2020-09-16,13:30,13:30,38.49,38.785,38.24,38.75,38.524464,15545,598862.575,156,38.495,38.79,38.24,38.73,38.51023,2112430,81350378.89609998,6244
2020-09-16,14:00,14:00,38.69,38.7,38.49,38.565,38.62464,12333,476358.67,108,38.73,38.75,38.47,38.595,38.61577,1580966,61050404.921299994,5490
2020-09-16,14:30,14:30,38.605,38.895,38.38,38.42,38.650443,18947,732311.91,204,38.593,38.9,38.35,38.41,38.661632,2217343,85726080.21520002,7341
2020-09-16,15:00,15:00,38.39,38.44,37.99,38.175,38.23069,19328,738923.05,215,38.41,38.465,37.98,38.18,38.225564,2501449,95619316.3174,8007
2020-09-16,15:30,15:30,38.19,38.355,38.11,38.3,38.257334,22105,845680.79,254,38.175,38.36,38.095,38.3,38.253833,1959687,74965463.315,8310
2020-09-17,09:30,09:30,37.66,38.03,37.16,37.76,37.560237,32091,1205346.44,321,37.69,38.065,37.14,37.745,37.563832,4950976,185978167.4786,15130
2020-09-17,10:00,10:00,37.76,38.445,37.76,38.445,38.032263,22978,873907.4200000002,222,37.75,38.54,37.74,38.5,38.091251,2936078,111838983.2342,8692
2020-09-17,10:30,10:30,38.495,38.66,38.26,38.53,38.465457,14101,542402.31,203,38.501,38.69,38.23,38.52,38.492046,2605735,100300032.00209999,6782
2020-09-17,11:00,11:00,38.525,39.14,38.51,39.025,38.926289,7880,306739.815,175,38.51,39.14,38.49,39.08,38.942321,2897819,112848026.54609998,8198
2020-09-17,11:30,11:30,39.07,39.26,38.71,38.75,38.981606,8762,341557.325,217,39.08,39.28,38.7,38.76,39.001271,2422879,94495867.56679998,7370
2020-09-17,12:00,12:00,38.72,38.79,38.225,38.435,38.460265,13157,506022.8500000001,220,38.75,38.79,38.2,38.406,38.48442,2419385,93108701.19130002,6882
2020-09-17,12:30,12:30,38.41,38.47,38.06,38.31,38.319146,27506,1054004.9299999997,182,38.4,38.477,38.05,38.3,38.284445,1893553,72493715.6985,5889
2020-09-17,13:00,13:00,38.265,38.29,38.07,38.185,38.191494,4061,155096.07,131,38.291,38.31,38.06,38.173,38.181563,913171,34866317.6006,2680
2020-09-17,13:30,13:30,38.19,38.36,38.14,38.295,38.244785,5852,223808.475,137,38.18,38.37,38.14,38.285,38.246734,883072,33774766.469100006,2901
2020-09-17,14:00,14:00,38.29,38.715,38.29,38.36,38.505935,8134,313207.75999999995,153,38.29,38.74,38.28,38.35,38.543381,2150122,82872981.28729999,5856
2020-09-17,14:30,14:30,38.325,38.355,38.12,38.12,38.265772,8449,323307.57999999996,182,38.35,38.365,38.115,38.12,38.259727,1355146,51847569.62,4114
2020-09-17,15:00,15:00,38.135,38.185,37.945,38.025,38.061692,8886,338215.66500000004,210,38.13,38.19,37.93,38.01,38.055832,1364936,51943841.01100001,4859
2020-09-17,15:30,15:30,38.0,38.38,37.955,38.36,38.225051,13577,518981.50500000006,220,38.0,38.39,37.95,38.36,38.241211,1872806,71618429.1365,7934
2020-09-18,09:30,09:30,38.15,38.32,37.22,37.435,37.61551,24269,912895.7699999998,246,38.16,38.34,37.22,37.409,37.633641,3915871,147368742.50680003,12419
2020-09-18,10:00,10:00,37.435,37.91,37.27,37.76,37.559727,18448,692903.8250000001,187,37.404,37.92,37.255,37.759,37.58889,2666743,100240090.41550002,8420
2020-09-18,10:30,10:30,37.72,37.775,37.5,37.58,37.593439,13773,517774.81500000006,113,37.766,37.79,37.48,37.58,37.612701,1653851,62205980.40079999,4422
2020-09-18,11:00,11:00,37.58,37.72,37.28,37.345,37.496299,11741,440244.1399999999,147,37.575,37.73,37.26,37.356,37.485144,1714383,64264043.64189999,4909
2020-09-18,11:30,11:30,37.37,37.395,36.91,37.235,37.141482,12532,465457.7150000001,144,37.356,37.41,36.9,37.24,37.13991,2468529,91681072.37269998,6862
2020-09-18,12:00,12:00,37.24,37.4,37.195,37.245,37.281828,4891,182345.22,61,37.24,37.41,37.18,37.235,37.284436,1101679,41075556.9683,3974
2020-09-18,12:30,12:30,37.23,37.23,36.96,37.04,37.079514,6914,256368.05499999993,80,37.23,37.243,36.94,37.09,37.073301,1198233,44422474.457499996,4349
2020-09-18,13:00,13:00,37.075,37.24,36.83,36.83,37.072217,11304,419065.2950000001,124,37.08,37.258,36.829,36.839,37.080775,1449490,53748342.82619999,4224
2020-09-18,13:30,13:30,36.81,36.94,36.69,36.935,36.805075,13790,507544.3350000001,144,36.83,36.965,36.68,36.94,36.82278,1844195,67908474.7206,5860
2020-09-18,14:00,14:00,36.93,37.01,36.825,36.92,36.929873,7248,267667.41500000004,93,36.93,37.03,36.813,36.949,36.932652,1042223,38492225.876200005,3231
2020-09-18,14:30,14:30,36.94,36.98,36.77,36.87,36.846893,7568,278857.94499999995,83,36.948,36.99,36.75,36.875,36.855506,893686,32937243.793599997,3145
2020-09-18,15:00,15:00,36.85,36.85,36.72,36.8,36.779921,11975,440441.665,145,36.88,36.885,36.7,36.795,36.775426,1034333,38038188.7455,4536
2020-09-18,15:30,15:30,36.78,37.035,36.71,36.975,36.865261,54596,2012702.015,405,36.78,37.05,36.705,36.99,36.902846,2442225,90125025.7383,11255
2020-09-21,09:30,09:30,35.22,35.46,33.7,34.03,34.248963,70685,2420892.2399999998,468,35.4,35.47,33.68,34.035,34.315618,7020535,240914548.56670007,25683
2020-09-21,10:00,10:00,33.94,34.08,33.5,33.51,33.984042,28987,985095.7349999999,203,34.03,34.09,33.46,33.46,33.85536,4056962,137350153.0336,14285
2020-09-21,10:30,10:30,33.46,33.495,33.19,33.36,33.293268,22115,736283.14,191,33.46,33.526,33.18,33.361,33.321205,2565864,85497591.70849997,9292
2020-09-21,11:00,11:00,33.36,33.8,33.345,33.705,33.636845,21783,732712.2300000001,184,33.36,33.82,33.34,33.7,33.660178,1976878,66542194.1649,7116
2020-09-21,11:30,11:30,33.7,33.85,33.57,33.79,33.667396,9335,314286.20499999996,128,33.71,33.86,33.56,33.8,33.678613,1283284,43219366.2532,4729
2020-09-21,12:00,12:00,33.79,34.07,33.775,33.98,33.981038,18559,630655.695,133,33.79,34.07,33.765,33.98,33.967049,1454169,49393931.224400006,5166
2020-09-21,12:30,12:30,33.99,34.21,33.865,34.135,34.081689,21385,728839.65,192,33.984,34.22,33.807,34.14,34.039552,1214834,41352581.5461,3742
2020-09-21,13:00,13:00,34.11,34.435,34.085,34.4,34.257789,10711,366934.11,89,34.135,34.449,34.08,34.405,34.264015,1132740,38812286.950799994,3738
2020-09-21,13:30,13:30,34.405,34.435,34.155,34.185,34.256222,10902,373460.07999999996,87,34.39,34.461,34.14,34.18,34.272162,1342417,46007550.7008,4350
2020-09-21,14:00,14:00,34.185,34.335,34.13,34.285,34.252006,15728,538717.205,103,34.185,34.34,34.12,34.285,34.256103,830317,28443403.7133,3471
2020-09-21,14:30,14:30,34.26,34.315,33.97,33.97,34.225466,77584,2655337.6,383,34.285,34.32,33.93,33.938,34.114065,1178897,40217107.3807,3947
2020-09-21,15:00,15:00,33.925,34.035,33.905,33.905,33.996645,7392,251303.23,79,33.94,34.06,33.88,33.89,33.98903,892516,30335765.7412,3489
2020-09-21,15:30,15:30,33.855,33.86,33.71,33.795,33.779235,19305,652105.395,200,33.89,33.89,33.7,33.79,33.780469,1609479,54368979.4819,6559
2020-09-22,09:30,09:30,34.005,34.625,33.61,34.005,34.130189,25231,861142.7500000001,203,34.15,34.65,33.56,33.98,34.141234,3832903,130860286.10229999,11700
2020-09-22,10:00,10:00,33.875,34.35,33.64,34.305,34.064613,13631,464336.04,135,33.958,34.35,33.62,34.335,34.068051,2042442,69582035.90910001,5673
2020-09-22,10:30,10:30,34.35,34.43,33.75,33.75,34.058107,12575,428279.37000000005,130,34.34,34.44,33.73,33.73,34.074341,1806293,61548354.73749998,4616
2020-09-22,11:00,11:00,33.74,34.045,33.69,33.975,33.933083,9625,326605.92,102,33.74,34.1,33.67,33.995,33.90008,1128977,38272441.124000005,3223
2020-09-22,11:30,11:30,34.025,34.045,33.83,34.03,33.949621,4731,160615.435,74,33.998,34.07,33.825,34.04,33.950281,747410,25374883.9625,2434
2020-09-22,12:00,12:00,34.05,34.2,34.04,34.13,34.108629,7893,269220.445,99,34.04,34.2,34.03,34.125,34.109586,592920,20224247.6116,2136
2020-09-22,12:30,12:30,34.13,34.185,34.005,34.02,34.0825,7419,252858.195,86,34.123,34.19,34.0,34.015,34.080433,544143,18544658.957799997,1789
2020-09-22,13:00,13:00,34.035,34.035,33.925,33.995,33.980772,5282,179486.76499999996,70,34.012,34.04,33.92,33.99,33.98123,626003,21272353.588799994,1817
2020-09-22,13:30,13:30,33.985,34.035,33.9,33.995,33.975849,4046,137466.195,45,33.99,34.06,33.89,33.955,33.975553,576285,19579640.8088,1890
2020-09-22,14:00,14:00,33.975,34.03,33.91,33.95,33.974017,6145,208770.31,64,33.96,34.04,33.9,33.94,33.965912,546825,18573440.7398,2014
2020-09-22,14:30,14:30,33.945,34.145,33.94,34.08,34.01849,5429,184686.9,93,33.95,34.147,33.93,34.05,34.019864,727144,24737408.7059,2423
2020-09-22,15:00,15:00,34.04,34.16,34.015,34.125,34.101486,11825,403250.695,130,34.05,34.16,34.01,34.122,34.09705,549948,18751690.975799996,2548
2020-09-22,15:30,15:30,34.13,34.14,34.015,34.08,34.071238,53613,1826665.2699999998,537,34.125,34.14,34.01,34.09,34.068733,1055442,35957586.023499995,4898
2020-09-23,09:30,09:30,34.24,35.025,34.24,34.54,34.711441,30598,1062103.205,280,34.28,35.05,34.21,34.54,34.722447,3652764,126833245.46359998,11119
2020-09-23,10:00,10:00,34.565,34.605,34.16,34.525,34.410188,12570,432537.74,139,34.535,34.61,34.13,34.515,34.405279,2298892,79094418.38980001,6167
2020-09-23,10:30,10:30,34.54,34.57,34.03,34.03,34.242969,9896,338868.77999999997,105,34.51,34.6,34.03,34.053,34.267137,1581502,54193638.49109999,4723
2020-09-23,11:00,11:00,34.055,34.095,33.77,33.77,33.909884,24212,821023.7500000002,154,34.05,34.13,33.73,33.765,33.926276,1334974,45290692.81300001,4081
2020-09-23,11:30,11:30,33.795,33.92,33.675,33.845,33.824555,13428,454194.87500000006,128,33.76,33.932,33.66,33.863,33.826314,1158115,39174875.02320001,3452
2020-09-23,12:00,12:00,33.835,34.135,33.835,34.135,34.004804,6715,228342.125,82,33.85,34.14,33.8,34.14,33.99827,957333,32547705.2565,2610
2020-09-23,12:30,12:30,34.13,34.285,34.04,34.17,34.175242,6132,209563.005,83,34.13,34.31,34.03,34.209,34.163296,1175579,40161667.0937,3254
2020-09-23,13:00,13:00,34.155,34.285,34.045,34.045,34.182622,10283,351500.385,76,34.21,34.29,34.044,34.045,34.177865,778101,26593846.771300003,2485
2020-09-23,13:30,13:30,34.045,34.075,33.89,33.89,33.994541,6255,212635.72500000003,84,34.04,34.08,33.88,33.89,33.976525,851941,28946106.413099997,2541
2020-09-23,14:00,14:00,33.875,33.875,33.59,33.59,33.724403,7442,250976.86000000002,86,33.891,33.9,33.58,33.597,33.73335,1027532,34662120.5603,3201
2020-09-23,14:30,14:30,33.555,33.63,33.34,33.4,33.491054,10949,366694.205,109,33.59,33.645,33.34,33.405,33.490504,1196810,40081863.37970001,4138
2020-09-23,15:00,15:00,33.42,33.43,33.205,33.42,33.353301,15768,525915.8750000001,181,33.41,33.45,33.18,33.413,33.339575,1511945,50407862.98969999,5669
2020-09-23,15:30,15:30,33.395,33.495,33.06,33.065,33.290783,38431,1279396.625,307,33.41,33.5,33.05,33.08,33.248137,1917523,63754133.102199994,7736
2020-09-24,09:30,09:30,32.785,32.785,31.23,31.895,31.902497,39307,1253996.5499999998,400,32.785,32.8,31.22,31.9,31.956047,4876578,155836448.62959996,17195
2020-09-24,10:00,10:00,31.9,32.53,31.9,32.05,32.28576,12943,417874.4799999999,154,31.9,32.57,31.89,32.013,32.28191,1886193,60889974.8037,6725
2020-09-24,10:30,10:30,32.01,32.255,31.86,31.945,32.05094,31043,994958.15,244,32.01,32.28,31.845,31.945,32.029677,1792751,57421360.882999994,5666
2020-09-24,11:00,11:00,31.905,32.41,31.865,32.27,32.068075,10585,339440.6499999999,135,31.94,32.45,31.83,32.265,32.075867,1361384,43667668.9185,5004
2020-09-24,11:30,11:30,32.3,32.425,32.13,32.41,32.225716,11255,362701.225,136,32.26,32.485,32.12,32.405,32.265695,1059955,34200213.2173,3443
2020-09-24,12:00,12:00,32.42,32.655,32.39,32.595,32.50667,6244,202971.35,65,32.41,32.67,32.39,32.545,32.527431,1145248,37251985.39039999,3421
2020-09-24,12:30,12:30,32.48,32.675,32.375,32.675,32.485631,3708,120456.8,51,32.54,32.7,32.37,32.685,32.486419,991647,32215121.514199995,2632
2020-09-24,13:00,13:00,32.66,33.385,32.66,33.24,33.088445,11741,388491.93000000005,130,32.675,33.39,32.675,33.242,33.060081,1970733,65152625.79970001,4780
2020-09-24,13:30,13:30,33.25,33.39,32.96,33.1,33.15868,6644,220306.12499999997,94,33.245,33.4,32.95,33.011,33.158242,1954068,64793748.4901,4797
2020-09-24,14:00,14:00,33.035,33.085,32.695,32.715,32.86966,6872,225880.54499999998,86,33.03,33.09,32.69,32.73,32.877037,929632,30563646.3042,2518
2020-09-24,14:30,14:30,32.74,32.95,32.56,32.57,32.74025,5919,193789.97499999998,94,32.74,32.95,32.56,32.59,32.773813,1128795,36994906.0635,3074
2020-09-24,15:00,15:00,32.61,32.89,32.61,32.71,32.724529,11141,364583.57,136,32.59,32.9,32.588,32.709,32.737205,1345948,44062639.45130001,3557
2020-09-24,15:30,15:30,32.69,32.845,32.64,32.78,32.746182,13575,444530.86500000017,181,32.69,32.875,32.62,32.75,32.763458,1465628,48019045.6352,5615
2020-09-25,09:30,09:30,32.655,33.18,32.53,32.915,32.843826,52282,1717143.68,363,32.59,33.18,32.49,32.9,32.849875,3196447,105003210.767,11191
2020-09-25,10:00,10:00,32.94,33.47,32.88,33.425,33.159515,16043,531980.13,175,32.895,33.505,32.871,33.36,33.184517,2635980,87473958.9937,8044
2020-09-25,10:30,10:30,33.355,33.37,33.08,33.215,33.239673,9363,311222.9850000001,112,33.37,33.43,33.05,33.165,33.250545,1446659,48102294.9729,3850
2020-09-25,11:00,11:00,33.185,33.425,33.09,33.365,33.216749,18674,620287.2949999999,137,33.17,33.425,33.08,33.364,33.234634,934883,31070492.258600004,3373
2020-09-25,11:30,11:30,33.38,33.6,33.31,33.4,33.431291,7954,265912.79000000004,96,33.38,33.61,33.3,33.38,33.440927,1375243,45989393.641799994,3792
2020-09-25,12:00,12:00,33.39,33.63,33.385,33.385,33.492229,7628,255478.97000000003,95,33.38,33.638,33.37,33.385,33.491171,859682,28791824.70120001,2460
2020-09-25,12:30,12:30,33.385,33.915,33.385,33.875,33.724804,10398,350670.3,117,33.387,33.93,33.385,33.87,33.740168,1514843,51111102.85600001,4240
2020-09-25,13:00,13:00,33.82,33.98,33.75,33.845,33.859278,5737,194251.36,70,33.86,33.98,33.75,33.846,33.852744,993158,33621111.2772,3198
