date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,30.38,30.49,29.84,30.015,30.035263,48254,1449331.0049999997,351,30.4,30.49,29.815,30.015,30.100723,3089989,93011245.88219999,11652
2020-08-14,10:00,10:00,30.0,30.285,29.89,30.1,30.104092,31972,962488.7749999999,278,30.012,30.29,29.88,30.109,30.120485,1389710,41858836.6818,6538
2020-08-14,10:30,10:30,30.08,30.19,30.005,30.06,30.06948,18874,567528.8799999999,146,30.1,30.2,30.0,30.06,30.079253,880189,26475488.5722,4521
2020-08-14,11:00,11:00,30.035,30.07,29.92,29.965,29.985146,47683,1429781.855,190,30.07,30.09,29.92,29.988,29.998074,1083659,32507833.190300003,4488
2020-08-14,11:30,11:30,29.975,30.01,29.855,30.005,29.930465,22996,688280.655,160,29.983,30.01,29.85,30.005,29.930733,909624,27225710.564200006,3642
2020-08-14,12:00,12:00,30.005,30.04,29.95,29.99,29.986522,9519,285442.5850000001,143,30.01,30.05,29.94,29.985,29.986575,650571,19508380.889799997,2869
2020-08-14,12:30,12:30,29.975,30.0,29.915,29.94,29.957666,15780,472731.12999999995,155,29.99,30.0,29.905,29.939,29.954955,657277,19688633.8609,2805
2020-08-14,13:00,13:00,29.935,30.01,29.915,29.94,29.964098,7468,223773.51,104,29.93,30.008,29.91,29.951,29.962959,652323,19545570.745500006,2883
2020-08-14,13:30,13:30,29.955,30.03,29.915,30.015,30.000569,15091,452740.18499999994,107,29.959,30.03,29.91,30.018,29.97926,610330,18297265.8582,2473
2020-08-14,14:00,14:00,29.995,30.05,29.96,29.99,30.000062,6673,200190.735,89,30.013,30.058,29.96,29.98,30.00767,511042,15335205.736900002,2498
2020-08-14,14:30,14:30,29.975,30.07,29.975,30.055,30.038168,35878,1077715.5550000002,187,29.98,30.08,29.97,30.047,30.021449,649850,19509474.027400002,2547
2020-08-14,15:00,15:00,30.045,30.125,29.975,29.995,30.025472,20633,619516.675,242,30.045,30.12,29.97,29.99,30.014558,1507245,45239000.8944,3067
2020-08-14,15:30,15:30,29.995,30.055,29.935,29.985,29.998855,66336,1990000.4349999996,518,29.99,30.06,29.93,30.0,29.999608,1853590,55607154.94150001,7650
2020-08-17,09:30,09:30,30.01,30.095,29.46,29.715,29.690268,70106,2081467.705,572,30.05,30.12,29.46,29.72,29.704874,3783140,112377468.11659998,12522
2020-08-17,10:00,10:00,29.715,29.74,29.59,29.61,29.663786,25448,754887.27,195,29.72,29.75,29.59,29.605,29.670241,1134902,33672967.56949999,4845
2020-08-17,10:30,10:30,29.615,29.62,29.215,29.275,29.340247,21987,645105.5450000002,201,29.61,29.63,29.21,29.26,29.382172,1791519,52639012.78000002,6707
2020-08-17,11:00,11:00,29.255,29.66,29.155,29.605,29.369589,29612,869689.0350000001,374,29.26,29.66,29.14,29.58,29.38437,1858310,54605444.509600006,7263
2020-08-17,11:30,11:30,29.585,29.585,29.405,29.425,29.458887,27950,823373.9999999999,149,29.585,29.59,29.4,29.44,29.478828,1040595,30675627.111999996,4391
2020-08-17,12:00,12:00,29.45,29.545,29.415,29.415,29.485939,68395,2016697.185,236,29.45,29.55,29.41,29.42,29.486427,805708,23757483.065799996,3315
2020-08-17,12:30,12:30,29.425,29.575,29.425,29.535,29.499126,13891,409772.965,230,29.425,29.58,29.42,29.535,29.491016,684537,20187675.3418,2929
2020-08-17,13:00,13:00,29.535,29.695,29.525,29.575,29.650911,22797,675953.9450000001,283,29.53,29.695,29.52,29.578,29.632093,632113,18730893.0759,2902
2020-08-17,13:30,13:30,29.575,29.605,29.56,29.585,29.581393,16004,473421.35,176,29.575,29.605,29.555,29.585,29.581943,610905,18071775.28,2435
2020-08-17,14:00,14:00,29.585,29.59,29.465,29.48,29.536426,13867,409580.56999999995,222,29.585,29.59,29.45,29.48,29.520724,1054799,31138421.80110001,3828
2020-08-17,14:30,14:30,29.485,29.665,29.47,29.565,29.556937,19463,575264.185,226,29.485,29.665,29.47,29.57,29.567174,625208,18485644.895,3399
2020-08-17,15:00,15:00,29.57,29.585,29.505,29.54,29.546872,27160,802493.345,321,29.565,29.59,29.5,29.54,29.536823,706598,20870713.8148,3702
2020-08-17,15:30,15:30,29.535,29.545,29.46,29.485,29.505634,50105,1478383.3200000003,441,29.54,29.55,29.455,29.49,29.498531,1704614,50283758.76270001,6666
2020-08-18,09:30,09:30,29.46,30.45,29.41,30.355,29.916244,193474,5788021.029999999,1365,29.5,30.46,29.41,30.334,29.903895,6511142,194708413.26100004,26470
2020-08-18,10:00,10:00,30.335,30.35,29.785,29.83,30.115008,110034,3313670.545,598,30.33,30.36,29.77,29.83,30.101158,3569954,107459869.67829998,13151
2020-08-18,10:30,10:30,29.825,29.925,29.465,29.685,29.685683,82582,2451499.12,465,29.823,29.93,29.46,29.68,29.684146,2070510,61461589.0277,8996
2020-08-18,11:00,11:00,29.685,30.01,29.685,29.995,29.838031,38636,1152826.26,282,29.69,30.03,29.67,29.995,29.899469,1622540,48513133.17730001,5609
2020-08-18,11:30,11:30,30.0,30.06,29.75,29.85,29.908382,23596,705719.7399999999,226,30.0,30.06,29.74,29.841,29.921771,1179194,35283620.814799994,4733
2020-08-18,12:00,12:00,29.87,29.87,29.66,29.725,29.748588,21215,631115.64,249,29.84,29.87,29.66,29.73,29.752522,844422,25123680.436600003,3858
2020-08-18,12:30,12:30,29.73,29.785,29.675,29.695,29.72219,16623,494072.0900000001,209,29.725,29.79,29.67,29.692,29.722208,742844,22078959.346,3576
2020-08-18,13:00,13:00,29.695,29.81,29.6,29.645,29.714885,18622,553351.67,225,29.695,29.88,29.6,29.665,29.711396,1082138,32151859.422399998,4355
2020-08-18,13:30,13:30,29.655,29.73,29.625,29.665,29.673644,16293,483474.67,196,29.66,29.73,29.62,29.66,29.671133,850470,25234638.3718,3423
2020-08-18,14:00,14:00,29.66,29.94,29.63,29.875,29.791285,16840,501684.87500000006,204,29.66,29.95,29.63,29.88,29.775265,997958,29714432.837800007,4160
2020-08-18,14:30,14:30,29.875,29.95,29.845,29.915,29.893785,13320,398185.22,170,29.87,29.96,29.845,29.915,29.891472,992518,29668064.022899996,3989
2020-08-18,15:00,15:00,29.91,30.15,29.895,30.15,30.022844,27871,836770.6399999998,329,29.91,30.15,29.89,30.145,30.023257,2315477,69518231.1554,8819
2020-08-18,15:30,15:30,30.15,30.175,29.955,30.05,30.060522,60837,1828802.4649999999,644,30.15,30.181,29.95,30.08,30.048912,2623343,78829021.6227,10620
2020-08-19,09:30,09:30,30.16,30.315,29.95,30.125,30.114621,32485,978274.3750000001,319,30.15,30.349,29.95,30.112,30.132415,1629850,49111507.0456,6683
2020-08-19,10:00,10:00,30.14,30.23,30.04,30.07,30.131293,19574,589790.465,198,30.115,30.24,30.035,30.06,30.127889,1096447,33033696.623600002,4677
2020-08-19,10:30,10:30,30.03,30.06,29.92,29.99,30.010014,18841,565421.095,224,30.057,30.065,29.91,29.99,30.016055,936912,28122535.864200003,3596
2020-08-19,11:00,11:00,29.975,30.0,29.895,29.935,29.94132,24397,730479.6900000001,162,29.985,30.0,29.89,29.935,29.938587,712433,21329232.719800003,2978
2020-08-19,11:30,11:30,29.92,29.96,29.765,29.765,29.891666,14661,438243.5399999999,225,29.94,29.965,29.76,29.761,29.864318,816276,24377569.597,3364
2020-08-19,12:00,12:00,29.755,29.8,29.67,29.785,29.751674,11817,351577.45999999996,125,29.76,29.8,29.66,29.771,29.740517,723158,21507091.1724,2755
2020-08-19,12:30,12:30,29.77,29.78,29.665,29.73,29.722829,10513,312476.89,91,29.775,29.79,29.65,29.725,29.718424,689635,20494940.557700004,2282
2020-08-19,13:00,13:00,29.72,29.79,29.685,29.78,29.734943,4197,124798.115,68,29.725,29.799,29.68,29.775,29.730692,341293,10146910.411900003,1358
2020-08-19,13:30,13:30,29.77,29.95,29.76,29.86,29.880629,10658,318469.32999999996,109,29.773,29.97,29.76,29.876,29.882535,719917,21512886.667399995,3130
2020-08-19,14:00,14:00,29.85,29.87,29.495,29.57,29.653148,5963,176821.28999999998,115,29.86,29.88,29.485,29.56,29.632133,971836,28797655.558599997,3883
2020-08-19,14:30,14:30,29.58,29.73,29.515,29.66,29.630171,11062,327768.7150000001,141,29.56,29.75,29.52,29.67,29.623173,651836,19309467.939500004,2760
2020-08-19,15:00,15:00,29.655,29.675,29.485,29.495,29.56447,71113,2102421.8899999997,361,29.653,29.678,29.48,29.495,29.572308,722506,21366126.918600004,3336
2020-08-19,15:30,15:30,29.5,29.54,29.395,29.41,29.482301,89182,2629295.9650000003,517,29.5,29.54,29.39,29.42,29.459112,1624977,47870328.8456,6641
2020-08-20,09:30,09:30,29.095,29.31,28.845,28.88,29.058714,19301,560864.1799999999,271,29.13,29.31,28.83,28.89,29.037501,2151488,62474084.37409999,7345
2020-08-20,10:00,10:00,28.925,28.985,28.725,28.805,28.870594,21127,609950.08,271,28.9,28.985,28.71,28.81,28.866478,1436697,41472486.77919999,5760
2020-08-20,10:30,10:30,28.8,28.925,28.675,28.675,28.795951,14039,404266.26,233,28.795,28.93,28.666,28.67,28.798517,1143533,32932109.169099994,4263
2020-08-20,11:00,11:00,28.665,28.8,28.65,28.65,28.745251,18565,533657.2200000001,238,28.663,28.81,28.64,28.65,28.739902,1275548,36659115.46740001,5510
2020-08-20,11:30,11:30,28.63,28.975,28.63,28.895,28.803758,27776,800056.685,272,28.64,28.979,28.62,28.904,28.817709,1209558,34856788.7304,4880
2020-08-20,12:00,12:00,28.9,28.93,28.49,28.495,28.797626,96758,2786414.170000001,547,28.905,28.94,28.48,28.5,28.666941,2649357,75949315.5492,10028
2020-08-20,12:30,12:30,28.51,29.65,28.5,29.635,29.109565,117327,3415345.475,1016,28.507,29.66,28.49,29.64,29.068567,5115310,148695009.1636,19400
