date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,31.01,31.465,31.01,31.405,31.281705,58039,1815559.045,369,31.02,31.51,30.98,31.394,31.251841,2302176,71947309.67169999,7146
2020-07-02,10:00,10:00,31.405,31.555,30.94,30.955,31.284629,38049,1190353.4849999999,447,31.4,31.57,30.94,30.94,31.324375,1307954,40970844.28240001,5230
2020-07-02,10:30,10:30,30.945,31.115,30.685,30.725,30.974249,63984,1981854.055,591,30.945,31.12,30.68,30.73,30.946484,1356672,41984409.297299996,6352
2020-07-02,11:00,11:00,30.725,31.0,30.585,30.915,30.803259,58110,1789981.1949999996,528,30.725,31.0,30.58,30.915,30.796443,1917042,59038365.2142,8516
2020-07-02,11:30,11:30,30.925,30.96,30.865,30.885,30.912089,53344,1648977.79,359,30.92,30.97,30.86,30.885,30.909161,716217,22137714.1702,3383
2020-07-02,12:00,12:00,30.895,30.895,30.765,30.84,30.839317,28783,887651.665,345,30.89,30.895,30.76,30.845,30.830442,469645,14479414.580399998,2479
2020-07-02,12:30,12:30,30.845,31.015,30.785,30.955,30.883785,33872,1046091.2899999999,309,30.845,31.03,30.78,30.95,30.908777,678703,20977903.4488,2821
2020-07-02,13:00,13:00,30.955,30.97,30.865,30.925,30.923291,24213,748746.5,182,30.95,30.98,30.86,30.935,30.930555,468568,14493099.4147,2284
2020-07-02,13:30,13:30,30.945,30.945,30.785,30.79,30.872155,19625,605867.84,175,30.935,30.945,30.78,30.79,30.869001,416247,12849191.152600002,2215
2020-07-02,14:00,14:00,30.78,30.865,30.75,30.825,30.807913,8949,275699.76,100,30.78,30.865,30.74,30.825,30.806019,469607,14466695.391199999,2242
2020-07-02,14:30,14:30,30.825,30.865,30.795,30.825,30.824139,23903,736785.77,261,30.825,30.875,30.79,30.82,30.835786,303600,9361784.9542,1808
2020-07-02,15:00,15:00,30.835,30.855,30.665,30.72,30.764087,17417,535819.3100000002,203,30.83,30.855,30.66,30.72,30.752495,543682,16719569.236000003,3039
