date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,50.585,51.415,50.49,51.3,50.804478,123455,6272061.939999999,649,50.62,51.42,50.484,51.292,50.893673,2444653,124417680.75890003,9402
2020-11-24,10:00,10:00,51.31,51.775,51.21,51.445,51.452112,40127,2064621.1749999996,306,51.3,51.78,51.2,51.475,51.50608,1542688,79457934.27909999,6764
2020-11-24,10:30,10:30,51.45,51.95,51.405,51.92,51.785575,45256,2343611.845,299,51.47,51.95,51.375,51.91,51.78136,1068259,55315941.1428,4790
2020-11-24,11:00,11:00,51.95,52.15,51.46,51.59,51.885282,58043,3011580.1750000003,324,51.93,52.15,51.46,51.62,51.86398,1285056,66648087.352900006,4996
2020-11-24,11:30,11:30,51.58,51.875,51.57,51.68,51.730464,33616,1738973.575,222,51.61,51.88,51.56,51.68,51.755728,736351,38110430.96280001,3815
2020-11-24,12:00,12:00,51.72,51.875,51.515,51.68,51.724736,29105,1505449.2950000002,218,51.685,51.88,51.51,51.685,51.708727,696439,36012084.03259999,3966
2020-11-24,12:30,12:30,51.69,51.75,51.305,51.45,51.521093,39391,2029472.3599999999,237,51.69,51.75,51.28,51.44,51.508223,1834525,94493490.61669998,7641
2020-11-24,13:00,13:00,51.44,51.5,51.33,51.42,51.411376,21530,1106888.435,172,51.432,51.5,51.32,51.42,51.408533,707500,36371585.0846,3110
2020-11-24,13:30,13:30,51.42,51.42,51.19,51.285,51.345608,26989,1385767.175,196,51.415,51.44,51.18,51.3,51.341454,474472,24360052.411300004,2369
2020-11-24,14:00,14:00,51.29,51.395,51.2,51.235,51.308231,31071,1594198.295,226,51.31,51.4,51.195,51.235,51.318605,494665,25385540.4608,2422
2020-11-24,14:30,14:30,51.245,51.525,51.245,51.5,51.421978,11289,580502.9450000001,135,51.24,51.53,51.24,51.495,51.437647,358979,18465025.366,1779
2020-11-24,15:00,15:00,51.495,51.64,51.405,51.53,51.503658,39084,2012969.1800000006,276,51.495,51.64,51.4,51.515,51.504076,695542,35823287.56340001,3356
2020-11-24,15:30,15:30,51.51,51.7,51.25,51.26,51.482047,65779,3386438.4999999995,498,51.515,51.7,51.25,51.25,51.434425,1554355,79947241.8669,7677
2020-11-25,09:30,09:30,51.15,51.45,50.11,50.25,50.785793,72341,3673902.3400000003,551,51.27,51.45,50.11,50.35,50.728661,2424988,123016663.89959997,11171
2020-11-25,10:00,10:00,50.33,50.82,49.96,50.75,50.448503,29782,1502458.605,232,50.34,50.825,49.92,50.76,50.370721,1259625,63448327.4264,6275
2020-11-25,10:30,10:30,50.76,51.0,50.725,50.78,50.846035,18732,952449.5449999998,179,50.76,51.01,50.715,50.78,50.844731,794805,40411665.018100016,4247
2020-11-25,11:00,11:00,50.78,50.82,50.235,50.235,50.625422,13842,700757.4799999999,116,50.78,50.83,50.22,50.225,50.590035,482448,24407085.294900004,2477
2020-11-25,11:30,11:30,50.225,50.54,50.16,50.525,50.386844,8501,428338.5450000001,100,50.228,50.55,50.16,50.525,50.379069,495367,24956147.2946,2488
2020-11-25,12:00,12:00,50.525,50.68,50.43,50.51,50.586239,11033,558118.935,123,50.53,50.685,50.42,50.51,50.570058,431928,21842669.661399998,2150
2020-11-25,12:30,12:30,50.51,50.645,50.395,50.645,50.504477,10832,547064.1950000001,138,50.515,50.65,50.39,50.645,50.502628,440495,22246209.9621,2267
2020-11-25,13:00,13:00,50.645,50.795,50.645,50.73,50.726458,12421,630072.7950000002,132,50.645,50.795,50.645,50.75,50.727366,401943,20389584.250800006,1979
