date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,35.57,35.7,34.5,34.7,34.970397,77426,2707608.86,476,35.51,35.7,34.495,34.72,34.922134,1771678,61870916.8446,7984
2020-10-27,10:00,10:00,34.705,34.79,34.305,34.52,34.568367,55797,1928811.7,281,34.71,34.81,34.3,34.53,34.571122,1630730,56376355.4397,8100
2020-10-27,10:30,10:30,34.55,34.65,34.27,34.34,34.468601,39263,1353343.2999999998,230,34.535,34.66,34.27,34.315,34.467029,905791,31219951.167199995,4804
2020-10-27,11:00,11:00,34.32,34.4,34.25,34.28,34.308714,27879,956494.83,169,34.315,34.415,34.24,34.28,34.321485,861715,29575393.378,3919
2020-10-27,11:30,11:30,34.28,34.415,34.2,34.4,34.308469,22906,785870.5199999999,185,34.28,34.43,34.2,34.405,34.287434,650014,22287371.224499997,2956
2020-10-27,12:00,12:00,34.42,34.435,34.275,34.28,34.34963,32677,1122437.825,202,34.41,34.435,34.275,34.28,34.348221,520439,17876183.606599998,2791
2020-10-27,12:30,12:30,34.3,34.325,34.155,34.155,34.22577,22970,786168.22,225,34.279,34.33,34.15,34.16,34.243738,655259,22438493.8203,2785
2020-10-27,13:00,13:00,34.155,34.21,34.115,34.18,34.178697,28852,986119.7250000001,237,34.155,34.21,34.11,34.165,34.167191,485932,16602958.119299999,2517
2020-10-27,13:30,13:30,34.165,34.265,34.125,34.14,34.197842,26380,902140.645,192,34.165,34.27,34.12,34.132,34.194539,410082,14022579.510400003,2181
2020-10-27,14:00,14:00,34.135,34.175,34.04,34.125,34.114709,30531,1041557.4349999998,228,34.13,34.18,34.04,34.115,34.110969,596729,20355059.98180001,2837
2020-10-27,14:30,14:30,34.11,34.27,34.03,34.265,34.126689,40202,1371964.25,333,34.115,34.287,34.02,34.287,34.122612,618795,21114991.580300003,3708
2020-10-27,15:00,15:00,34.295,34.305,34.17,34.255,34.243581,25494,873008.185,212,34.285,34.305,34.175,34.255,34.231893,419591,14363404.168900002,2612
2020-10-28,09:30,09:30,33.62,33.65,33.185,33.33,33.410695,92251,3082173.5500000003,493,33.62,33.66,33.18,33.336,33.425288,1944858,65007587.34130001,8302
2020-10-28,10:00,10:00,33.335,33.58,33.02,33.05,33.253841,51582,1715297.6949999998,326,33.33,33.6,33.01,33.053,33.2785,1035029,34444288.9296,5436
2020-10-28,10:30,10:30,33.05,33.32,32.91,33.11,33.101737,52014,1721759.665,369,33.05,33.33,32.9,33.09,33.072517,1071237,35428543.080900006,4862
2020-10-28,11:00,11:00,33.08,33.275,32.92,33.275,33.040908,40350,1333195.7199999997,222,33.09,33.29,32.92,33.27,33.048347,912445,30154883.4981,4278
