date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,37.46,38.505,37.445,38.2,38.185619,70145,2678540.7649999997,541,37.39,38.52,37.39,38.13,38.22581,3474833,132828299.1172,14443
2020-09-16,10:00,10:00,38.145,38.3,37.95,38.265,38.102377,53465,2037143.1199999999,384,38.13,38.3,37.92,38.265,38.112108,1754921,66883808.05820002,9174
2020-09-16,10:30,10:30,38.235,38.3,37.835,38.0,38.087526,29125,1109300.885,296,38.265,38.31,37.83,37.995,38.052695,1145641,43594769.27380001,5138
2020-09-16,11:00,11:00,37.99,38.32,37.98,38.18,38.109165,52358,1995324.4100000001,485,37.99,38.32,37.97,38.17,38.140809,1900499,72486777.47950001,10038
2020-09-16,11:30,11:30,38.165,38.165,37.97,38.0,38.038265,42283,1608372.9749999999,365,38.175,38.176,37.96,37.995,38.043521,1695496,64502702.769899994,7700
2020-09-16,12:00,12:00,37.995,38.21,37.995,38.16,38.111223,44234,1685809.1999999997,344,38.0,38.22,37.99,38.175,38.113526,1353035,51569111.10960001,6940
2020-09-16,12:30,12:30,38.17,38.17,37.955,37.96,38.038361,18992,722424.7899999999,152,38.175,38.18,37.95,37.955,38.021045,903621,34356626.8209,4162
2020-09-16,13:00,13:00,37.93,38.06,37.91,37.975,37.988651,19726,749365.9099999999,123,37.95,38.065,37.9,37.975,37.982246,637149,24200343.4314,3221
2020-09-16,13:30,13:30,37.99,38.155,37.975,38.15,38.076104,20673,787146.885,213,37.975,38.16,37.97,38.15,38.058071,748808,28498230.8838,3589
2020-09-16,14:00,14:00,38.14,38.24,37.985,38.055,38.111268,18791,716152.1699999999,168,38.155,38.24,37.98,38.055,38.095139,1064887,40567045.776999995,5377
2020-09-16,14:30,14:30,38.055,38.09,37.805,37.82,37.949298,30412,1154116.7199999997,296,38.055,38.1,37.8,37.825,37.946505,1107707,42033548.38430001,5651
2020-09-16,15:00,15:00,37.81,37.86,37.555,37.6,37.746228,45923,1733414.65,428,37.825,37.86,37.55,37.59,37.718602,1463728,55209811.33279999,8113
2020-09-16,15:30,15:30,37.59,37.765,37.47,37.665,37.635435,57487,2163546.51,571,37.59,37.77,37.46,37.66,37.634841,2022401,76112995.75709999,10904
2020-09-17,09:30,09:30,36.605,37.05,36.285,37.045,36.571685,111516,4078317.47,632,36.68,37.05,36.28,37.045,36.61963,3664363,134187867.3707,16498
2020-09-17,10:00,10:00,37.065,37.365,36.95,37.3,37.154328,42229,1568991.6,519,37.04,37.38,36.9,37.31,37.151142,1693039,62898586.670200005,8785
2020-09-17,10:30,10:30,37.3,37.44,37.015,37.02,37.254031,60690,2260954.535,441,37.312,37.445,37.01,37.02,37.258947,1615586,60195093.79699999,7858
2020-09-17,11:00,11:00,37.04,37.255,36.845,36.845,37.058229,22112,819431.6549999999,247,37.03,37.258,36.84,36.89,37.060017,1213285,44964458.3812,5841
2020-09-17,11:30,11:30,36.89,36.905,36.635,36.65,36.722288,32609,1197479.8000000003,306,36.89,36.948,36.64,36.65,36.753638,1010665,37145688.66739999,5211
2020-09-17,12:00,12:00,36.65,36.73,36.255,36.355,36.497104,35809,1306927.525,364,36.65,36.735,36.26,36.351,36.480407,1176491,42918856.04449999,5825
2020-09-17,12:30,12:30,36.345,36.46,36.145,36.445,36.305299,43659,1585052.1300000001,349,36.35,36.47,36.14,36.45,36.303356,1809939,65706958.0472,7888
2020-09-17,13:00,13:00,36.46,36.58,36.335,36.505,36.468969,15857,578288.5900000001,257,36.46,36.59,36.33,36.495,36.474735,936449,34156743.3438,4497
2020-09-17,13:30,13:30,36.49,36.72,36.47,36.62,36.621819,13038,477476.8450000001,155,36.49,36.73,36.462,36.635,36.636209,732560,26838258.293799993,4136
