,date,sym,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNumberOfTrades,prevClose_0,prevClose_1,prevClose_2,day_ref_val,%change,%change_next,target,trdingPrice,marketVolume_normalized
0,2020-07-02 09:30,AAPL,0.000,0.007,-0.001,0.006,0.004,4535286,2.910,0.006,,,367.850,0.579,-0.459,sell,369.980,3.237
1,2020-07-02 10:00,AAPL,0.006,0.006,-0.006,-0.005,0.001,2810829,1.792,-0.005,,,367.850,-1.035,-0.746,sell,366.160,2.006
2,2020-07-02 10:30,AAPL,-0.005,0.001,-0.005,-0.002,-0.002,2076576,1.358,-0.002,0.006,,367.850,0.297,0.057,hold,367.231,1.482
3,2020-07-02 11:00,AAPL,-0.002,-0.002,-0.005,-0.004,-0.003,1280133,0.903,-0.004,-0.005,,367.850,-0.238,0.057,hold,366.355,0.914
4,2020-07-02 11:30,AAPL,-0.004,-0.001,-0.006,-0.001,-0.003,1132975,0.822,-0.001,-0.002,0.006,367.850,0.284,0.382,buy,367.440,0.809
5,2020-07-02 12:00,AAPL,-0.001,0.001,-0.003,-0.000,-0.001,1044010,0.771,-0.000,-0.004,-0.005,367.850,0.098,0.035,hold,367.800,0.745
6,2020-07-02 12:30,AAPL,-0.000,0.000,-0.002,-0.001,-0.001,720765,0.539,-0.001,-0.001,-0.002,367.850,-0.060,-0.329,sell,367.570,0.514
7,2020-07-02 13:00,AAPL,-0.001,-0.001,-0.004,-0.003,-0.002,809716,0.600,-0.003,-0.000,-0.004,367.850,-0.267,-0.302,sell,366.580,0.578
8,2020-07-02 13:30,AAPL,-0.003,-0.002,-0.004,-0.004,-0.003,757053,0.575,-0.004,-0.001,-0.001,367.850,-0.033,0.101,buy,366.450,0.540
9,2020-07-02 14:00,AAPL,-0.004,-0.002,-0.005,-0.002,-0.004,584530,0.495,-0.002,-0.003,-0.000,367.850,0.142,0.191,buy,366.940,0.417
10,2020-07-02 14:30,AAPL,-0.002,-0.001,-0.003,-0.002,-0.002,744113,0.598,-0.002,-0.004,-0.001,367.850,0.046,-0.104,sell,367.120,0.531
11,2020-07-02 15:00,AAPL,-0.002,-0.002,-0.004,-0.003,-0.003,939094,0.743,-0.003,-0.002,-0.003,367.850,-0.147,-0.814,sell,366.570,0.670
